Actual (mm),Predicted (mm)
68.4,82.61827
-732.4999999999999,-739.2534
-1411.2,-1400.2373
-1679.3,-1671.1307
-1391.2000000000003,-1372.4727
-722.7,-770.51495
34.9,43.20889
839.3,880.6288
1502.8,1518.4282
1778.0,1793.8246
1652.1999999999998,1634.3408
1097.1,1150.4877
377.09999999999997,403.67062
-439.7,-471.7121
-1192.9,-1222.7551
-1666.3,-1684.1976
-1567.1,-1598.4631
-1015.5,-1051.8551
-296.99999999999994,-297.62262
539.8,526.0431
1284.8999999999999,1293.4133
1712.8000000000002,1711.4869
1728.9,1717.8599
1336.7,1336.7651
663.1,699.2012
-147.10000000000002,-134.84131
-977.7,-970.09515
-1593.3,-1609.1381
-1707.3,-1744.0193
-1279.6,-1281.6678
-593.4000000000001,-601.3096
180.60000000000002,218.17554
1034.8,1024.6078
1612.2,1616.4006
1783.1,1783.6538
1551.1,1533.6177
958.0999999999999,993.5993
210.2,223.37321
-612.7,-638.0904
-1327.7,-1355.5016
-1618.3000000000002,-1708.9424
-1362.7,-1397.5299
-734.0,-766.5345
15.599999999999996,27.896286
853.9,860.7119
1568.3,1539.6233
1890.4,1883.1992
1798.4000000000003,1774.0682
1282.4,1299.0814
590.8,583.64294
-265.7,-258.87335
-1076.3,-1084.7261
-1608.5,-1661.5376
-1613.8999999999999,-1665.55
-1089.0,-1146.938
-423.0,-388.05545
361.3,417.66092
1158.5,1155.9161
1682.0,1650.3352
1751.1000000000001,1746.6666
1405.3,1431.5282
820.2,818.35516
59.699999999999896,55.859356
-738.1,-753.499
-1348.3,-1400.7014
-1528.7,-1571.0361
-1108.5,-1170.4822
-464.3,-459.82504
299.59999999999997,341.66956
1140.4999999999998,1118.6492
1758.2999999999997,1714.5463
1985.4,1948.8987
1764.0,1747.3812
1193.2,1214.3856
463.4,458.181
-380.2,-399.2842
-1140.4,-1170.7245
-1605.6999999999998,-1639.1742
-1512.7,-1549.185
-1011.9,-1013.20966
-369.5999999999999,-314.46515
383.6,440.2155
1138.1,1128.3226
1559.5,1571.454
1599.8000000000002,1582.3191
1231.9,1246.681
649.8000000000001,646.30164
-61.5,-89.12231
-781.8,-807.0772
-1302.8,-1334.0199
-1354.9,-1374.2028
-913.3,-922.9525
-280.5,-259.95667
440.8,487.36627
1196.1999999999998,1191.3159
1725.3,1688.2437
1857.3999999999999,1855.284
1581.8000000000002,1579.0035
1000.8,1031.5681
302.0,289.936
-510.0,-520.0931
-1203.8,-1234.5778
-1584.8999999999999,-1603.6814
-1460.1,-1437.5762
-986.8,-957.37885
-384.1,-324.09753
362.4,370.00708
1044.7,1045.2283
1430.8000000000002,1443.0281
1410.4,1423.7026
1070.7,1053.1401
551.4,508.4666
-106.29999999999993,-134.84326
-772.3,-764.8779
-1190.6000000000001,-1217.761
-1163.3,-1178.6906
-724.8,-715.72144
-135.8,-100.58044
567.8,574.0394
1279.7999999999997,1239.0405
1756.1,1710.146
1871.8,1832.165
1585.3999999999999,1542.5055
1051.7,1021.1
382.29999999999995,346.63977
-384.0,-389.28635
-1039.1,-1067.0391
-1399.3,-1434.6746
-1268.7,-1289.9443
-859.2,-828.25305
-327.29999999999995,-266.55844
352.5999999999999,359.81625
956.6,976.3111
1321.5,1327.3949
1293.1999999999998,1317.6285
983.7,988.2372
499.3999999999999,477.33298
-110.69999999999989,-129.66795
-680.1999999999999,-707.87445
-1066.8999999999999,-1055.4115
-1051.2999999999997,-1010.3764
-655.7,-624.6294
