Actual (mm),Predicted (mm)
429.2,386.871
470.99999999999994,444.79526
518.1,465.2996
518.1,515.9526
463.80000000000007,474.9798
407.9,398.13168
373.8,353.0293
320.6,336.78998
247.5,260.93213
211.8,185.21481
204.1,192.01373
224.3,196.62079
279.2,241.76932
322.5,329.59906
350.3,352.37262
370.2,368.74115
383.1,382.24408
361.59999999999997,392.7563
307.8999999999999,347.1665
259.79999999999995,281.1386
233.2,246.02615
218.79999999999995,236.56963
204.0,230.80739
220.6,215.03465
284.6,262.96335
342.6,349.8193
418.5999999999999,384.45544
467.1999999999999,464.10043
492.49999999999994,470.51038
473.7999999999999,490.70135
422.4,440.95975
379.90000000000003,382.89355
352.8,355.6608
333.4,338.46503
319.0,324.8127
311.0,313.70477
320.6,308.16788
355.4,327.35413
396.6,371.7963
406.7,407.81427
392.7,393.7596
363.9,371.4725
312.90000000000003,334.45105
238.79999999999987,268.07614
178.0999999999999,180.19528
135.5,144.90448
136.3,118.150764
165.3,166.13129
202.1,209.47531
239.70000000000002,250.5208
296.4,284.70688
377.90000000000003,350.69897
455.4,435.6435
489.3999999999999,492.57724
494.40000000000003,486.72418
468.99999999999994,484.61685
450.7,444.13303
458.8,443.84726
483.8,464.7638
490.5,493.5813
467.4999999999999,481.1751
451.2999999999999,442.19336
504.59999999999997,436.30704
532.2,527.8837
527.8000000000001,510.66992
487.7,501.21002
436.2,434.31943
354.5,388.7258
281.5999999999999,276.47052
218.20000000000005,228.74182
183.7,170.1441
157.79999999999998,171.09293
177.6,145.58301
216.59999999999997,222.81044
263.4999999999999,262.13336
352.0999999999999,317.60742
455.4,429.47806
526.9000000000001,517.1942
583.3000000000001,552.63385
597.3,598.8008
584.6,584.8017
562.6,571.5611
556.2,550.62115
561.5,560.58435
555.4,566.81885
540.8000000000001,551.1793
527.4,534.0784
523.3000000000001,520.6356
500.49999999999994,519.4769
461.79999999999995,477.60175
407.5,434.2134
309.59999999999997,368.44623
200.8,229.54024
88.8,129.62314
20.6,27.14232
-27.500000000000004,17.34863
-40.0,-28.436146
-24.399999999999903,-15.462153
30.199999999999896,24.356554
114.7,119.659035
202.7,211.49742
290.4,310.18332
382.8999999999999,382.78256
435.59999999999997,450.73904
464.9,459.9608
467.99999999999994,484.77258
458.8,461.32007
459.4999999999999,455.5818
462.8,464.92563
452.40000000000003,466.39368
455.6,447.21664
466.4,461.04117
452.79999999999995,463.22412
420.8,426.1162
372.7999999999999,383.06436
303.7999999999999,321.25375
226.30000000000004,234.24841
122.09999999999991,152.92786
27.6,31.250076
-41.9999999999999,-32.74069
-92.2,-77.19453
-115.39999999999989,-119.966324
-92.5,-112.10349
-55.6999999999999,-45.899654
15.499999999999902,9.030703
99.1,110.20457
179.79999999999998,187.87892
266.1,263.62387
346.0999999999999,344.11978
387.29999999999995,402.73474
400.1,401.58432
404.0,399.02008
408.5,398.96216
409.6999999999999,408.9303
402.8,410.64734
409.1,400.04327
409.5,413.46622
397.4,398.29468
373.7,375.33936
334.4999999999999,337.47702
280.2,283.89694
210.69999999999996,214.5738
132.89999999999998,131.40047
36.4,53.218826
-66.60000000000001,-51.473843
-122.30000000000001,-135.11617
-146.8999999999999,-148.89122
-106.2999999999999,-145.86566
-37.699999999999996,-46.258995
35.8,48.582317
121.30000000000001,122.80511
206.5,208.32259
301.4,284.8141
383.90000000000003,376.4333
441.0999999999999,428.866
478.2,452.75797
497.2,485.91394
493.49999999999994,476.5989
488.4,472.0057
491.1,478.38187
481.0999999999999,485.6179
466.19999999999993,464.07773
453.3999999999999,447.60995
434.09999999999997,430.35675
391.2,400.0454
317.7999999999999,334.28012
260.79999999999995,236.46721
175.8,200.17126
89.1,78.09536
13.700000000000003,16.473427
-56.09999999999999,-53.65902
-106.39999999999999,-99.63493
-121.30000000000001,-131.2368
-110.69999999999989,-105.72921
-44.6,-73.15961
62.900000000000006,52.03891
158.6,176.4694
259.79999999999995,252.18753
374.3999999999999,352.14438
434.3,451.8164
447.4999999999999,453.91364
441.7,445.74255
428.3999999999999,431.401
414.49999999999994,417.58765
390.29999999999995,412.89792
387.2,386.1993
391.5,400.06412
383.5,393.45242
357.4,370.21802
336.5,324.98886
310.40000000000003,306.25937
264.5,264.02536
188.1,199.23317
86.8,98.200806
2.7999999999999,-6.1189156
-58.199999999999896,-61.79327
-91.1,-96.235855
-92.39999999999999,-106.24627
-51.0,-75.083145
18.599999999999998,16.718029
96.69999999999999,104.57563
184.2,181.14557
