Actual (mm),Predicted (mm)
155.5,146.5259
256.5,245.39366
353.7,356.56894
434.7,440.3551
496.40000000000003,477.48538
492.69999999999993,478.7899
444.40000000000003,433.23242
387.5,352.01328
297.59999999999997,275.79382
194.70000000000002,196.4518
113.3999999999999,107.821335
55.79999999999999,43.098248
34.0,14.636273
35.1999999999999,27.28691
34.9,56.646954
60.899999999999885,63.19965
82.8,81.249275
92.8,92.05756
76.8,88.60052
58.80000000000001,59.531418
39.79999999999999,34.140083
8.999999999999998,21.253662
-9.600000000000009,4.898176
3.200000000000012,3.5550861
64.2,41.04123
153.2,136.48354
260.79999999999995,257.17575
375.3,377.2827
475.1999999999999,471.68243
538.3,515.73126
545.6000000000001,512.9771
492.4,467.8996
398.2,382.2996
282.6,271.13586
174.9,164.40569
81.0999999999999,71.867744
20.399999999999892,6.9522467
15.80000000000001,-15.005427
28.49999999999989,23.445002
59.0,69.35132
99.7,105.413124
117.1,131.27792
127.59999999999998,122.49118
107.0,107.42148
82.5999999999999,72.39299
47.099999999999895,44.91463
7.000000000000005,20.84131
-11.899999999999906,-1.4568734
11.799999999999995,2.0996077
82.8,58.2762
178.4,169.14091
305.59999999999997,293.58615
429.4,422.1061
543.3,511.53934
579.3,554.4118
561.3,539.1633
491.3,473.61942
363.09999999999997,366.01288
244.60000000000002,232.57921
133.0,125.57916
47.10000000000001,36.835392
5.1000000000000085,-11.237006
-0.2999999999999055,-8.408538
19.899999999999995,28.640463
73.3,71.87693
126.2,126.281654
167.5,163.03647
169.2,175.40727
138.4,149.17958
95.0,98.5726
24.49999999999999,50.12623
-28.7,-8.625345
-46.20000000000001,-42.581562
-5.599999999999908,-27.538717
84.2,60.79929
201.9,198.77782
346.6,340.8996
490.5,476.06598
585.2,562.1082
607.5,588.36957
565.0999999999999,556.88214
451.40000000000003,466.57635
325.1,316.43842
190.0,188.71742
69.2,76.87408
-2.7999999999999963,-13.199888
-10.899999999999995,-42.245766
16.999999999999915,3.0627077
59.89999999999989,78.256676
117.2,133.31277
173.1,172.42767
204.0,192.74268
202.49999999999991,186.37863
152.0999999999999,160.13603
