Actual (mm),Predicted (mm)
299.09999999999997,299.36206
309.7,324.04968
354.8,371.85672
438.2,426.73514
527.2,498.39514
613.4000000000001,603.61383
686.6,702.2947
690.8,714.5404
624.5,595.5438
489.09999999999997,424.32187
272.0,266.12115
11.399999999999899,75.49461
-238.6,-171.74167
-455.8,-411.53424
-570.2,-565.3592
-595.0999999999999,-586.3376
-512.6,-507.71463
-362.59999999999997,-381.48883
-165.7,-199.53102
33.300000000000004,1.1387691
203.6,176.72298
311.8999999999999,290.68405
345.8,355.3601
309.3,360.1091
284.6,284.57907
251.7,232.97513
252.8,244.53201
291.5999999999999,290.8149
387.79999999999995,353.11267
543.6,438.1496
676.4,591.53625
776.1999999999999,760.72424
792.7,795.6464
711.7,656.5683
520.6999999999999,455.91702
222.6999999999999,242.56313
-103.89999999999989,-36.1749
-406.4,-368.54333
-639.5999999999999,-637.9181
-759.1,-735.6111
-725.5,-717.1305
-582.3000000000001,-602.9813
-336.5,-387.01865
-68.9,-118.010056
158.0,139.20331
319.6,316.16528
392.29999999999995,393.81485
382.79999999999995,402.81406
275.9,338.35233
180.60000000000002,191.35728
116.1,107.22741
109.89999999999999,107.0942
201.9,163.53664
366.7,299.8978
571.1999999999999,452.24835
767.0,625.1177
895.5,824.18384
893.9999999999999,872.99646
753.3999999999999,704.8039
477.9,447.10086
123.8999999999999,150.49446
-280.4,-225.01683
-601.1999999999999,-598.5169
-816.6999999999999,-791.1708
-858.7999999999998,-863.8415
-757.0,-811.2969
-520.0,-576.718
-206.2,-258.0373
67.10000000000001,56.275295
302.5,305.3675
433.59999999999997,427.7258
426.3,445.3413
321.40000000000003,367.47815
172.20000000000002,206.62259
25.099999999999998,33.114323
-38.4,-47.844646
4.9999999999999,-20.410437
177.8,132.44531
412.6,388.8192
679.3000000000001,583.2172
912.4,763.7749
1024.8,952.4553
971.4,938.02734
750.0,715.3402
391.50000000000006,393.5999
-35.9,-15.984494
-453.7,-455.03064
-756.5000000000001,-766.58813
-897.9999999999999,-921.0699
-862.5999999999999,-961.0091
-675.3,-747.3618
-351.20000000000005,-399.93433
-2.499999999999901,-39.264725
298.70000000000005,271.80887
490.5,465.3992
528.6999999999999,516.90753
408.6,456.93576
227.9999999999999,262.5993
9.9,25.975012
-135.2,-154.23593
-175.60000000000002,-200.13095
-59.8,-104.06695
168.5,185.75116
480.6000000000001,533.45044
814.3000000000002,749.5231
1033.1,924.36237
1102.5,1067.3713
975.1,959.79974
658.5,686.62317
224.20000000000005,266.06076
-242.99999999999997,-215.56357
-640.4,-673.03625
-894.3,-899.8114
-964.3000000000001,-1033.7336
-817.6999999999999,-922.84265
-525.6,-571.232
-145.4,-158.41718
231.90000000000003,202.45807
495.3,469.27603
597.6,577.6066
514.9,566.9528
305.9,364.3234
31.7,60.611248
-213.29999999999998,-217.51923
-355.1,-351.23233
-351.6,-373.76297
-165.5,-201.19293
125.1,172.30081
519.1,563.5343
856.0000000000001,810.27606
1052.2,983.6061
1080.7,1073.3473
869.5,908.9737
489.09999999999997,577.1791
7.200000000000001,80.925644
-454.4,-442.66806
-805.3000000000002,-804.65314
-981.0,-1023.842
-909.7,-1045.517
-676.8,-768.36334
-292.6,-331.63382
139.99999999999991,93.66668
486.59999999999997,443.1075
692.5,641.56854
675.3,710.54987
479.9,539.5299
178.60000000000002,204.09741
-162.70000000000002,-168.80804
-410.19999999999993,-437.40002
-512.6999999999999,-563.8263
-445.5999999999999,-504.29883
-199.5,-210.24533
165.1,197.4172
