Actual (mm),Predicted (mm)
-59.1999999999999,-50.94787
-88.49999999999996,-90.79457
-20.199999999999985,-20.843985
132.39999999999998,124.38604
317.8999999999999,302.6578
451.7,477.24765
590.8,592.1494
657.0,651.0118
582.2,597.6008
413.6,419.13943
247.39999999999998,236.02841
66.0,95.408
-71.30000000000001,-64.71383
-126.19999999999996,-140.00742
-76.7,-105.761925
70.49999999999999,49.50862
262.40000000000003,245.2547
437.4,430.90472
599.4,588.15027
709.3,686.5209
708.1999999999999,666.8976
554.6,547.95245
364.2999999999999,350.04224
194.0,199.44598
45.69999999999998,58.29753
-35.69999999999988,-47.87678
-36.3,-32.899845
73.39999999999989,69.80117
248.4,238.3732
420.69999999999993,412.6647
569.2,566.92664
687.2,674.005
701.4,675.48486
565.0000000000001,573.43256
363.09999999999997,373.40598
183.60000000000002,197.60245
18.50000000000001,31.826126
-97.89999999999998,-98.42502
-137.10000000000002,-132.97504
-68.89999999999993,-66.69568
92.99999999999999,85.650955
283.2,274.02356
455.4999999999999,457.0232
609.6999999999999,610.19073
694.9,691.292
664.7,653.333
516.4,500.59277
319.6,319.44818
176.19999999999996,169.64507
20.799999999999986,49.666245
-61.10000000000001,-54.8126
-48.20000000000001,-49.952076
64.29999999999998,62.242096
244.0999999999999,233.06
406.8999999999999,407.97064
545.4,555.39197
635.0,652.96576
626.4000000000001,633.80426
480.6,498.544
299.09999999999997,298.04916
133.20000000000002,140.436
-21.399999999999984,-16.625639
-115.19999999999999,-122.39525
-119.60000000000004,-140.50146
-23.999999999999996,-26.976967
143.7,133.8427
322.29999999999995,313.17966
492.59999999999997,484.92822
639.8,625.36957
722.3000000000001,680.2098
692.6,633.0146
529.5,503.0829
352.7,329.3406
215.79999999999995,204.76617
95.99999999999999,103.15175
52.00000000000002,40.24776
105.6,98.82788
235.1,232.23892
401.2,393.6675
532.8000000000001,537.48834
644.3,638.12396
725.9999999999999,665.54504
699.4,632.93945
548.1,521.8661
364.2,359.17365
200.0,214.28955
52.10000000000001,66.31322
-32.69999999999992,-43.564423
-34.8,-41.400414
74.30000000000001,62.902283
246.79999999999998,237.5629
416.2,410.82257
573.3,569.54126
699.0000000000001,689.47656
759.4000000000001,711.5746
702.2,648.395
540.1,512.8767
384.79999999999995,354.79514
258.0,252.07187
159.5,165.85497
126.5,129.9158
191.39999999999998,193.93933
312.5,334.31442
451.19999999999993,459.75992
596.6,580.27997
722.8000000000001,682.73505
781.9000000000001,697.90344
729.0,658.1108
573.0000000000001,539.92365
408.5,384.91568
257.0,265.08038
126.6999999999999,138.47743
58.29999999999998,45.94385
70.10000000000001,63.275875
157.5,181.20853
316.40000000000003,324.20132
474.7,468.07834
610.3,611.7872
726.4,706.06244
774.0000000000001,708.3556
713.3000000000001,641.1508
566.6,521.3671
438.9000000000001,386.0469
329.40000000000003,310.5303
238.7,249.55194
200.09999999999997,219.31635
237.2999999999999,258.9311
362.59999999999997,385.45218
488.6,501.68082
599.8,611.56464
698.5,678.9877
737.4,676.7283
668.7,619.24133
525.1,500.67554
382.3999999999999,362.68762
237.5999999999999,250.06145
114.2,123.2477
40.199999999999996,36.317005
36.09999999999998,46.336163
116.5,133.04076
253.39999999999992,267.9408
397.1,409.53568
525.8000000000001,539.6177
637.9,641.6864
686.6999999999999,675.26953
642.9,608.5535
518.8,490.55286
412.0,361.86603
307.8999999999999,293.66907
216.9,228.50488
177.09999999999988,190.90164
222.20000000000002,222.49709
319.8999999999999,345.575
448.1,447.04987
545.2,555.9873
636.5000000000001,632.24316
689.3000000000001,638.61945
659.5000000000001,594.53796
543.5000000000001,504.8929
405.70000000000005,384.44128
271.0,274.5593
146.1,159.48058
62.49999999999998,62.444946
51.69999999999998,43.539543
151.9,119.31369
248.6,283.45035
389.2,400.823
503.3,517.1112
597.6999999999999,611.9997
642.4000000000001,637.4178
618.4000000000001,573.9804
