Actual (mm),Predicted (mm)
274.2,278.51062
274.6,276.39096
257.0,261.09668
223.4999999999999,228.40022
191.29999999999998,177.0137
104.0,131.43823
38.69999999999999,40.516647
-11.300000000000002,-35.517036
-61.599999999999994,-73.78843
-98.50000000000003,-107.6132
-119.39999999999989,-137.34486
-127.30000000000001,-144.41818
-128.20000000000002,-126.450966
-118.1,-105.881386
-92.89999999999998,-82.611984
-62.1,-52.102604
-20.499999999999904,-19.761133
19.099999999999998,20.485872
50.300000000000004,62.64166
77.2,93.70973
108.2,115.546455
139.4,135.85396
173.6,158.24504
202.7,191.64883
217.1,218.28046
230.7999999999999,229.01321
236.2,234.49068
221.0,226.82101
196.80000000000004,204.89471
159.89999999999998,165.04118
94.89999999999999,114.85433
44.49999999999999,42.462055
2.400000000000005,-19.533249
-34.900000000000006,-51.469803
-46.19999999999999,-72.746185
-63.3,-76.01558
-71.5,-74.55771
-77.19999999999999,-65.2571
-61.599999999999994,-55.06457
-37.4,-33.91665
-28.9,-6.4582276
-6.400000000000002,6.4264107
12.299999999999997,23.215107
39.99999999999989,39.411236
54.300000000000004,63.551785
72.2,76.63178
88.7,87.63842
109.79999999999998,96.72801
119.6,111.08602
123.7,118.03804
116.9999999999999,120.25961
118.7,109.69345
113.5,102.50843
95.0,92.100044
83.1,69.75729
62.6,49.26947
24.600000000000005,31.448284
3.7999999999999976,3.7439861
-11.39999999999989,-14.477097
-15.19999999999999,-24.317106
-8.20000000000001,-22.266773
-7.500000000000004,-7.309973
4.100000000000005,4.023255
20.0,19.006292
36.49999999999999,35.89564
43.9,54.495365
58.800000000000004,64.52882
77.8,75.88224
82.0,90.35145
79.80000000000001,93.15578
82.89999999999999,85.36365
78.39999999999999,80.38585
88.9,71.68152
84.4,75.709076
79.3,73.21046
75.6,67.55849
55.1,63.235703
55.1,46.44212
57.199999999999896,41.73553
46.9,45.459866
43.2,42.6083
34.4,41.686707
46.199999999999996,36.720116
40.4,46.196632
71.3,46.84019
78.99999999999999,72.61915
83.49999999999991,89.198395
85.8,96.82902
118.79999999999991,97.838615
125.2,118.87603
126.2,131.02051
112.8,134.56418
97.0999999999999,118.440994
81.19999999999997,91.43567
50.0,62.217278
7.900000000000003,33.201374
-8.399999999999991,-3.6095445
-29.499999999999996,-24.586744
-58.699999999999896,-41.551323
-58.19999999999989,-65.14357
-47.599999999999895,-62.60465
-33.49999999999999,-45.5359
-26.299999999999994,-23.726852
-16.000000000000004,-9.934665
6.200000000000003,2.4471936
10.900000000000004,24.30371
29.400000000000006,31.840378
55.4,45.97796
79.1,68.78619
104.80000000000001,91.524086
132.8,114.330444
150.79999999999998,138.99522
160.39999999999998,157.63483
167.19999999999996,168.94727
178.5,172.38448
171.9,175.05109
117.9,164.41183
93.09999999999991,104.900894
62.0,55.420403
15.899999999999997,12.876079
-18.39999999999999,-19.439953
-74.59999999999998,-45.540936
-88.0,-91.62271
-113.70000000000002,-106.64165
-133.39999999999998,-116.233826
-128.80000000000004,-125.48713
-110.30000000000001,-117.608475
-92.50000000000001,-94.84202
-56.399999999999984,-68.47973
-26.8,-28.548304
21.399999999999995,5.06815
63.6,52.260254
103.29999999999991,96.05793
150.8999999999999,133.81715
199.5,177.2335
229.3,222.58687
252.2,256.38257
277.4999999999999,269.9466
285.4,283.8669
273.9,279.0929
257.29999999999995,256.08658
214.4,222.00967
151.79999999999998,164.3425
82.5999999999999,90.93201
28.400000000000002,13.698095
-47.899999999999984,-44.075718
-111.99999999999997,-91.5519
-149.2,-147.46542
-177.7,-185.88474
-205.7999999999999,-195.69078
-206.4,-199.36581
-187.39999999999998,-187.87936
-152.09999999999988,-159.53421
-110.2,-113.98148
-51.0,-60.89849
4.100000000000005,0.9006906
64.19999999999999,58.91434
120.3,117.44284
172.5,170.03156
236.7,218.70413
287.0,279.16718
314.0,323.3578
332.6,339.98788
347.5,342.62366
344.2,334.56113
323.5,314.8239
280.4,272.70312
218.0,212.52092
132.6999999999999,137.55971
54.0,46.76976
-20.69999999999999,-31.562859
-89.19999999999999,-83.29606
-133.3,-133.77681
-165.1,-175.2836
-186.0,-197.42152
-191.70000000000002,-188.42441
-170.39999999999998,-168.10764
-124.79999999999998,-131.06517
-82.69999999999999,-75.57887
-25.5,-24.322227
31.700000000000003,36.496616
91.5,95.62446
150.8999999999999,151.8904
215.69999999999996,201.9079
254.6,267.0727
297.09999999999997,311.421
319.5,337.6104
332.6,348.60358
341.4,336.0032
326.5,324.94006
296.9,291.9401
246.4,240.40375
173.3,176.18547
82.3,94.01455
-13.700000000000008,0.51708376
-93.69999999999997,-82.563385
-167.6,-141.96764
-215.3999999999999,-209.61354
-254.30000000000004,-250.47304
-277.3,-271.67044
-248.79999999999995,-271.6648
-208.09999999999997,-233.73029
-165.59999999999997,-172.64157
-107.39999999999999,-106.30055
