ds,yhat,DangerZone
2025-09-24 13:00:00,50.919662,✅ Safe
2025-09-24 14:00:00,41.36807,✅ Safe
2025-09-24 15:00:00,43.740486,✅ Safe
2025-09-24 16:00:00,52.1891,✅ Safe
2025-09-24 17:00:00,66.553604,✅ Safe
2025-09-24 18:00:00,83.80306,✅ Safe
2025-09-24 19:00:00,111.99946,✅ Safe
2025-09-24 20:00:00,137.85442,✅ Safe
2025-09-24 21:00:00,165.49034,✅ Safe
2025-09-24 22:00:00,188.78824,✅ Safe
2025-09-24 23:00:00,208.7399,✅ Safe
2025-09-25 00:00:00,233.90186,✅ Safe
2025-09-25 01:00:00,254.97598,✅ Safe
2025-09-25 02:00:00,268.26486,✅ Safe
2025-09-25 03:00:00,276.7915,✅ Safe
2025-09-25 04:00:00,282.1314,✅ Safe
2025-09-25 05:00:00,277.76962,✅ Safe
2025-09-25 06:00:00,270.63586,✅ Safe
2025-09-25 07:00:00,249.77252,✅ Safe
2025-09-25 08:00:00,227.73547,✅ Safe
2025-09-25 09:00:00,193.03166,✅ Safe
2025-09-25 10:00:00,155.09334,✅ Safe
2025-09-25 11:00:00,119.571915,✅ Safe
2025-09-25 12:00:00,80.18851,✅ Safe
2025-09-25 13:00:00,45.926636,✅ Safe
2025-09-25 14:00:00,26.727793,✅ Safe
2025-09-25 15:00:00,22.625233,✅ Safe
2025-09-25 16:00:00,21.919575,✅ Safe
2025-09-25 17:00:00,32.167957,✅ Safe
2025-09-25 18:00:00,56.03842,✅ Safe
2025-09-25 19:00:00,83.757454,✅ Safe
2025-09-25 20:00:00,107.14581,✅ Safe
2025-09-25 21:00:00,134.353,✅ Safe
2025-09-25 22:00:00,156.66275,✅ Safe
2025-09-25 23:00:00,177.3754,✅ Safe
2025-09-26 00:00:00,200.4209,✅ Safe
2025-09-26 01:00:00,219.12099,✅ Safe
2025-09-26 02:00:00,232.73454,✅ Safe
2025-09-26 03:00:00,243.69997,✅ Safe
2025-09-26 04:00:00,252.43617,✅ Safe
2025-09-26 05:00:00,252.07262,✅ Safe
2025-09-26 06:00:00,247.0564,✅ Safe
2025-09-26 07:00:00,231.10687,✅ Safe
2025-09-26 08:00:00,209.44933,✅ Safe
2025-09-26 09:00:00,181.26392,✅ Safe
2025-09-26 10:00:00,158.29301,✅ Safe
2025-09-26 11:00:00,129.31581,✅ Safe
2025-09-26 12:00:00,106.21603,✅ Safe
2025-09-26 13:00:00,75.634796,✅ Safe
2025-09-26 14:00:00,48.599022,✅ Safe
2025-09-26 15:00:00,32.295677,✅ Safe
2025-09-26 16:00:00,29.907644,✅ Safe
2025-09-26 17:00:00,33.715317,✅ Safe
2025-09-26 18:00:00,43.835922,✅ Safe
2025-09-26 19:00:00,60.414234,✅ Safe
2025-09-26 20:00:00,87.39841,✅ Safe
2025-09-26 21:00:00,110.91799,✅ Safe
2025-09-26 22:00:00,137.03615,✅ Safe
2025-09-26 23:00:00,160.92934,✅ Safe
2025-09-27 00:00:00,182.83609,✅ Safe
2025-09-27 01:00:00,203.67691,✅ Safe
2025-09-27 02:00:00,218.24191,✅ Safe
2025-09-27 03:00:00,231.45485,✅ Safe
2025-09-27 04:00:00,238.83493,✅ Safe
2025-09-27 05:00:00,247.99384,✅ Safe
2025-09-27 06:00:00,251.35434,✅ Safe
2025-09-27 07:00:00,242.7498,✅ Safe
2025-09-27 08:00:00,226.19875,✅ Safe
2025-09-27 09:00:00,203.08937,✅ Safe
2025-09-27 10:00:00,171.61243,✅ Safe
2025-09-27 11:00:00,137.50359,✅ Safe
2025-09-27 12:00:00,102.19773,✅ Safe
2025-09-27 13:00:00,78.04055,✅ Safe
2025-09-27 14:00:00,46.458862,✅ Safe
2025-09-27 15:00:00,28.534685,✅ Safe
2025-09-27 16:00:00,27.664486,✅ Safe
2025-09-27 17:00:00,32.087036,✅ Safe
2025-09-27 18:00:00,47.02845,✅ Safe
2025-09-27 19:00:00,60.83479,✅ Safe
2025-09-27 20:00:00,89.61413,✅ Safe
2025-09-27 21:00:00,112.32054,✅ Safe
2025-09-27 22:00:00,136.14388,✅ Safe
2025-09-27 23:00:00,161.48596,✅ Safe
2025-09-28 00:00:00,181.20354,✅ Safe
2025-09-28 01:00:00,194.24707,✅ Safe
2025-09-28 02:00:00,207.23387,✅ Safe
2025-09-28 03:00:00,221.33145,✅ Safe
2025-09-28 04:00:00,228.9467,✅ Safe
2025-09-28 05:00:00,230.13307,✅ Safe
2025-09-28 06:00:00,226.45522,✅ Safe
2025-09-28 07:00:00,220.33896,✅ Safe
2025-09-28 08:00:00,207.08191,✅ Safe
2025-09-28 09:00:00,191.19649,✅ Safe
2025-09-28 10:00:00,175.08603,✅ Safe
2025-09-28 11:00:00,150.36658,✅ Safe
2025-09-28 12:00:00,121.15086,✅ Safe
2025-09-28 13:00:00,100.80078,✅ Safe
2025-09-28 14:00:00,77.93843,✅ Safe
2025-09-28 15:00:00,56.18644,✅ Safe
2025-09-28 16:00:00,39.263294,✅ Safe
2025-09-28 17:00:00,36.407627,✅ Safe
2025-09-28 18:00:00,39.39725,✅ Safe
2025-09-28 19:00:00,47.683422,✅ Safe
2025-09-28 20:00:00,57.623734,✅ Safe
2025-09-28 21:00:00,81.57888,✅ Safe
2025-09-28 22:00:00,105.67577,✅ Safe
2025-09-28 23:00:00,133.21426,✅ Safe
2025-09-29 00:00:00,155.03445,✅ Safe
2025-09-29 01:00:00,171.55434,✅ Safe
2025-09-29 02:00:00,191.92635,✅ Safe
2025-09-29 03:00:00,204.6754,✅ Safe
2025-09-29 04:00:00,215.42815,✅ Safe
2025-09-29 05:00:00,223.23517,✅ Safe
2025-09-29 06:00:00,220.79462,✅ Safe
2025-09-29 07:00:00,212.97098,✅ Safe
2025-09-29 08:00:00,203.99097,✅ Safe
2025-09-29 09:00:00,190.8763,✅ Safe
2025-09-29 10:00:00,178.27403,✅ Safe
2025-09-29 11:00:00,161.70302,✅ Safe
2025-09-29 12:00:00,141.96086,✅ Safe
2025-09-29 13:00:00,131.58057,✅ Safe
2025-09-29 14:00:00,111.10161,✅ Safe
2025-09-29 15:00:00,106.015686,✅ Safe
2025-09-29 16:00:00,96.260284,✅ Safe
2025-09-29 17:00:00,88.87993,✅ Safe
2025-09-29 18:00:00,82.274025,✅ Safe
2025-09-29 19:00:00,78.56196,✅ Safe
2025-09-29 20:00:00,75.8082,✅ Safe
2025-09-29 21:00:00,79.74322,✅ Safe
2025-09-29 22:00:00,91.37628,✅ Safe
2025-09-29 23:00:00,99.89875,✅ Safe
2025-09-30 00:00:00,116.354836,✅ Safe
2025-09-30 01:00:00,128.65732,✅ Safe
2025-09-30 02:00:00,142.41174,✅ Safe
2025-09-30 03:00:00,157.40462,✅ Safe
2025-09-30 04:00:00,170.97993,✅ Safe
2025-09-30 05:00:00,183.43785,✅ Safe
2025-09-30 06:00:00,191.4881,✅ Safe
2025-09-30 07:00:00,189.05025,✅ Safe
2025-09-30 08:00:00,187.68541,✅ Safe
2025-09-30 09:00:00,179.61101,✅ Safe
2025-09-30 10:00:00,170.8956,✅ Safe
2025-09-30 11:00:00,157.6552,✅ Safe
2025-09-30 12:00:00,148.5717,✅ Safe
2025-09-30 13:00:00,133.92493,✅ Safe
2025-09-30 14:00:00,113.98063,✅ Safe
2025-09-30 15:00:00,92.265,✅ Safe
2025-09-30 16:00:00,72.989975,✅ Safe
2025-09-30 17:00:00,55.543766,✅ Safe
2025-09-30 18:00:00,47.127502,✅ Safe
2025-09-30 19:00:00,36.358505,✅ Safe
2025-09-30 20:00:00,34.736515,✅ Safe
2025-09-30 21:00:00,39.63321,✅ Safe
2025-09-30 22:00:00,53.141567,✅ Safe
2025-09-30 23:00:00,72.97075,✅ Safe
2025-10-01 00:00:00,83.97056,✅ Safe
2025-10-01 01:00:00,99.199905,✅ Safe
2025-10-01 02:00:00,108.12332,✅ Safe
2025-10-01 03:00:00,122.99327,✅ Safe
2025-10-01 04:00:00,133.79788,✅ Safe
2025-10-01 05:00:00,138.64139,✅ Safe
2025-10-01 06:00:00,144.22708,✅ Safe
2025-10-01 07:00:00,143.85579,✅ Safe
2025-10-01 08:00:00,137.58167,✅ Safe
2025-10-01 09:00:00,119.58694,✅ Safe
2025-10-01 10:00:00,106.05118,✅ Safe
2025-10-01 11:00:00,100.560036,✅ Safe
2025-10-01 12:00:00,94.92583,✅ Safe
