Actual (mm),Predicted (mm)
580.6,623.1524
736.9,763.62317
827.3999999999999,854.8744
795.4,925.68427
650.6,757.0536
426.2000000000001,446.89948
193.1,212.70724
11.5,36.883755
-98.49999999999999,-55.672264
-138.59999999999997,-42.381554
-54.300000000000004,15.953484
75.5,194.19498
258.79999999999995,335.79166
420.20000000000005,530.6576
518.7,602.4925
560.6,614.4531
496.29999999999995,593.5258
381.9,434.165
196.3,295.19156
24.199999999999996,96.262535
-87.29999999999998,-16.120012
-136.3,-32.64353
-58.3,-2.9585578
127.3,194.2848
376.7999999999999,441.28906
616.5,661.61237
772.5999999999999,806.81805
854.4000000000001,910.0927
813.3,958.9606
679.5,748.7385
468.1,459.89227
219.39999999999986,245.6114
4.3000000000000025,51.045242
-167.90000000000003,-88.87582
-251.2,-170.58484
-160.09999999999997,-130.0424
54.1,109.91642
280.6,354.7846
459.1,553.072
555.4,627.31573
595.9,629.7473
539.9000000000001,605.90454
401.1999999999999,451.98654
199.8,273.16907
15.100000000000003,76.26569
-87.89999999999999,-42.728867
-122.89999999999999,-24.994545
-33.79999999999999,25.102472
142.0,227.00424
397.6,445.91885
682.6999999999999,681.4755
885.0000000000001,889.8951
958.5,1055.7878
894.9,1054.2578
727.2,787.36743
471.6999999999999,449.76904
192.49999999999997,217.79552
-41.9999999999999,0.49333498
-254.9,-152.6304
-347.90000000000003,-280.84723
-219.39999999999986,-205.01514
43.5,102.65109
308.09999999999997,360.60635
541.9,578.2104
678.3000000000001,712.8986
735.4999999999999,763.7088
630.5,758.13025
434.0,469.09518
207.9,226.05136
17.8,40.028362
-132.1,-68.12881
-210.9,-123.69234
-106.1,-98.3188
165.8,165.6075
518.3,504.44055
836.4,794.57135
991.0,1021.77747
1040.8999999999999,1108.9219
1009.1000000000003,1033.4606
786.8000000000001,813.0931
469.4,430.83105
94.3,197.85297
-174.4,-139.97972
-357.5,-290.7752
-402.5,-323.8066
-250.0,-178.21771
46.99999999999999,98.92611
372.49999999999994,378.82874
569.6999999999999,647.11017
711.5,690.6929
725.6000000000001,794.4324
612.1999999999999,684.8467
372.49999999999994,419.2937
106.2,149.28568
-143.9,-76.69288
-325.50000000000006,-265.2545
-404.2,-322.93713
-243.79999999999998,-260.68393
157.4,98.31771
564.1,532.0379
875.3999999999999,809.1446
1035.6000000000001,1019.74243
1068.4,1111.8062
944.6999999999999,981.5412
645.8999999999999,624.67523
233.9,277.1451
-128.3,-55.80152
-371.5,-345.60046
-557.6,-424.24002
-563.6,-446.64587
-305.79999999999984,-254.85742
79.69999999999999,106.97847
480.49999999999994,429.048
729.5,729.3445
822.1999999999999,831.9871
781.3,839.03784
593.9,627.31146
317.40000000000003,294.11383
13.300000000000002,58.419514
-242.99999999999997,-203.51788
-468.1,-352.70972
-529.5,-467.47638
-256.6,-318.9538
173.7,186.4673
608.9,534.3191
975.9000000000001,838.99207
1084.3,1108.3328
1051.0,1087.2977
826.3999999999999,840.59186
495.09999999999997,417.04892
68.9,160.41672
-282.5,-233.3424
-547.9000000000001,-472.94907
-689.1000000000001,-563.41846
-573.6,-474.85672
-205.5,-158.5099
204.3,228.58362
577.3,532.5811
833.3999999999997,769.5803
998.1999999999999,939.78094
948.2000000000002,1080.07
647.2,811.1131
231.59999999999985,288.71823
-159.70000000000002,-79.67386
