Actual (mm),Predicted (mm)
265.6,292.45663
332.6,351.03757
420.79999999999995,456.8042
546.0,561.90576
660.9000000000001,657.3937
727.7,700.13434
711.2,671.8958
591.1999999999999,560.3266
363.8,354.28442
44.1,63.63513
-248.0,-264.3064
-520.0,-504.86423
-660.4,-672.5105
-728.1000000000001,-698.4132
-633.6,-653.10474
-491.5,-493.0154
-282.2,-289.93958
-59.6,-66.815025
159.6,142.70686
335.4,319.76187
438.9000000000001,433.12643
474.0999999999999,476.04578
432.3,460.53998
368.59999999999997,383.7492
300.5,324.29266
280.5,303.116
339.0,344.4124
448.79999999999995,458.44904
602.3,595.5046
724.0,722.4047
815.0999999999999,777.04517
794.0,764.557
658.0999999999999,640.6734
379.99999999999994,407.4359
21.8,56.16683
-318.09999999999997,-319.52493
-600.7,-616.0332
-761.9000000000001,-767.2614
-796.1,-787.73785
-705.5,-716.99445
-514.8,-533.37683
-270.6,-272.22308
-17.2,2.2486012
224.79999999999998,240.83801
401.49999999999994,410.8332
491.0,497.379
464.9,504.54553
377.59999999999997,407.3474
264.7,274.94833
160.20000000000002,189.82018
160.5,169.71115
232.1,262.20486
402.4,402.5676
584.1,591.1816
758.0,764.6575
867.2,861.3183
848.4999999999998,837.2995
664.7,673.53156
319.2,352.23273
-84.60000000000001,-81.55198
-459.99999999999983,-472.16077
-742.3000000000001,-765.87506
-898.6,-871.63654
-885.9999999999999,-887.9928
-760.8,-768.3326
-506.1,-530.23615
-219.1,-217.61093
73.39999999999989,86.684746
324.0,344.41544
489.2999999999999,495.41153
528.9000000000001,545.2389
442.5,475.18094
279.49999999999994,298.41696
123.8,104.626945
9.100000000000001,18.916077
44.8,34.732788
183.4,186.34343
383.90000000000003,388.24057
613.8000000000001,607.17957
809.6,824.69415
927.2000000000002,923.51733
882.1,875.75116
658.9000000000001,652.00494
251.5,266.70767
-191.39999999999998,-200.01917
-573.8,-595.474
-839.4000000000001,-852.5862
-951.7999999999998,-931.1377
-899.4000000000001,-917.36334
-693.1,-724.5373
-396.09999999999997,-418.5017
-70.39999999999988,-77.39795
218.29999999999998,245.11464
459.6,470.42184
571.6999999999999,584.1639
533.3,565.2267
366.09999999999997,399.19562
132.0,144.87416
-70.2,-72.50213
-137.3,-139.8904
-48.900000000000006,-46.587406
149.79999999999998,167.76729
410.59999999999985,397.54163
668.4,661.4609
868.6,893.52234
958.5,963.33185
872.3000000000001,858.3706
564.4,563.88727
106.89999999999999,97.926636
-350.7,-363.7194
-716.6,-729.5387
-947.9000000000001,-916.6529
-1002.1,-972.04724
-865.7,-896.80646
-585.6,-622.5318
-244.60000000000002,-269.74567
90.6,93.12467
378.6,401.2649
561.8000000000001,585.3122
585.0,622.0031
439.7,487.6167
170.5,208.83975
-122.89999999999999,-102.68282
-317.7999999999999,-280.80338
-331.6,-289.97757
-194.70000000000002,-143.86237
62.900000000000006,99.35612
370.2,344.39108
644.5999999999999,638.0145
854.5,879.5451
928.1000000000001,938.1808
794.8000000000002,796.06635
442.69999999999993,429.29813
-43.6,-80.058945
-497.2,-515.9441
-825.7999999999998,-815.708
-990.7,-940.13116
-955.4,-943.899
-733.8,-778.59314
-383.6,-452.26672
-41.2,-47.247044
300.5,304.87503
558.0,578.09766
674.1,694.06323
581.4,638.1689
328.7,386.6478
-29.699999999999896,7.316412
-332.8,-324.40564
-487.69999999999993,-429.25256
-456.8,-390.3073
-270.9,-209.0597
29.3,48.277782
350.6,326.39963
621.8000000000001,628.2804
833.3999999999999,842.631
867.7,886.58826
695.6999999999999,702.7939
298.8,284.3001
-165.39999999999995,-255.35896
-574.5,-611.70593
-825.6,-814.1559
-895.3,-863.7386
-752.1999999999999,-771.8671
-459.6,-518.6383
-105.5,-141.0604
256.1,256.86127
567.6,581.1267
770.8000000000002,763.97864
777.8000000000002,788.6625
584.7,631.98914
216.29999999999998,288.51035
-183.79999999999998,-181.51282
-477.5999999999999,-485.2083
-587.4,-562.8393
-510.7000000000001,-486.82745
-284.6,-265.6136
24.800000000000004,17.999624
331.8,327.67178
621.7,603.97943
796.0,798.4955
824.0999999999999,806.5002
607.5999999999999,625.9597
235.7,194.93996
-207.0,-281.34003
-538.0,-571.4297
-694.4,-706.4107
-652.5999999999999,-683.84436
-444.5,-472.0152
-118.3,-165.58466
241.9,206.75032
573.0000000000001,560.1293
840.4000000000001,811.8309
950.5,922.6859
839.3,860.7937
536.3,590.64264
68.9999999999999,123.27586
-336.5,-351.55844
-582.8,-584.70844
-680.4,-653.8633
-564.6999999999999,-557.086
-329.9999999999999,-327.90942
-12.600000000000003,-41.5873
287.4,276.82526
556.6999999999999,543.35175
720.7,708.58453
717.3000000000001,706.2221
508.3,518.63617
164.9999999999999,140.2722
-210.29999999999998,-267.649
-445.09999999999985,-515.1913
-505.70000000000005,-575.13214
-399.59999999999997,-436.4061
-130.89999999999998,-164.30444
187.9,164.1206
523.9,495.9893
817.2,789.0745
1013.7,965.5443
1012.8,992.5331
804.9999999999999,821.33997
394.49999999999983,423.79752
-80.4,-106.141815
-471.0,-461.89252
-719.3,-677.6237
-776.7,-746.2574
-680.8,-638.5887
-443.40000000000003,-439.89505
-142.7999999999999,-161.21974
147.0,154.25323
394.79999999999995,408.09967
542.8,556.1365
554.1,550.4071
386.0,405.5284
108.89999999999999,115.00376
-171.8,-212.04236
-341.5,-395.10257
-334.9,-362.76917
-178.29999999999998,-171.11488
84.6,112.51921
389.19999999999993,400.16534
686.4,684.61914
935.4,917.73956
1041.9,1014.76904
968.3000000000001,934.7673
689.4,652.2463
259.79999999999995,198.57368
-195.3,-243.30612
-550.9999999999999,-562.4162
-782.3,-766.2144
-842.0,-811.6568
-748.7,-715.99475
-539.9000000000001,-543.5217
-255.3999999999999,-285.1232
20.9,25.128166
263.79999999999995,289.36032
416.4,456.32355
459.9,475.21054
353.3,374.98386
159.70000000000002,162.16924
-38.49999999999999,-67.63361
-151.8999999999999,-185.986
-110.1,-130.5382
30.300000000000004,77.956024
272.1,319.5464
532.0,561.7546
801.9999999999999,808.6999
1004.6999999999998,986.70404
1052.7,1019.6648
928.6,881.4569
626.5,562.6255
195.70000000000002,132.60947
-240.6,-271.49683
-561.5,-605.9694
-784.1,-792.38196
-859.9999999999999,-845.1464
-801.3,-783.10645
-610.5,-610.9924
-363.3,-365.87143
-94.5,-93.73982
141.7,160.10905
322.1,336.2989
402.1,403.85986
360.70000000000005,371.58743
237.20000000000002,246.723
112.0,93.98817
9.799999999999999,17.285168
36.1,36.959038
144.7999999999999,185.96828
334.3,375.53003
563.3000000000001,578.12714
775.8000000000001,804.0015
941.2,948.3137
971.6,964.7395
859.3000000000001,817.1844
569.9,524.5989
173.5,122.443085
-229.0,-265.53192
-545.6,-597.88904
-777.7,-792.3733
-885.1000000000001,-863.33203
-856.8,-850.4384
-700.1999999999999,-704.86475
-471.0,-476.9463
-210.00000000000003,-212.40445
34.1,45.34125
240.4,248.4978
374.5,361.18542
399.1,393.32944
338.4,340.91437
243.79999999999998,237.0695
155.29999999999998,157.40714
140.5,144.38646
207.0,221.22156
356.4,359.15808
533.9000000000001,539.9949
729.6,736.9091
886.2999999999998,884.86835
938.4,917.72266
849.7999999999998,812.9492
599.5,566.14954
235.59999999999988,197.44734
-154.5,-188.27075
-500.8,-534.1568
-746.8000000000002,-781.40735
-894.4000000000001,-873.45953
-891.8999999999999,-893.4346
-759.9,-776.9663
-535.2,-548.41187
-264.6,-274.09262
-9.100000000000001,5.3057265
235.9,233.18822
404.59999999999997,389.0338
479.1000000000001,455.4037
457.30000000000007,443.9301
366.5,363.41504
265.7,260.24515
182.4,204.90857
205.2999999999999,201.69841
294.09999999999997,297.04636
450.29999999999995,436.82343
639.5,623.37604
801.5000000000001,799.3352
914.4,872.3194
872.4999999999998,844.9721
691.4,662.3681
341.2,346.63483
-54.300000000000004,-67.74173
-416.2,-457.10556
-704.5,-758.02124
-872.0000000000002,-877.18005
-895.8999999999999,-895.9944
-769.9,-804.56256
-538.7,-558.47784
-241.9,-260.88458
