ds,yhat,DangerZone
2025-09-24 13:00:00,-235.6615,✅ Safe
2025-09-24 14:00:00,-225.31955,✅ Safe
2025-09-24 15:00:00,-111.4809,✅ Safe
2025-09-24 16:00:00,91.761566,✅ Safe
2025-09-24 17:00:00,328.51218,✅ Safe
2025-09-24 18:00:00,572.2088,✅ Safe
2025-09-24 19:00:00,763.6379,✅ Safe
2025-09-24 20:00:00,866.7432,✅ Safe
2025-09-24 21:00:00,817.2912,✅ Safe
2025-09-24 22:00:00,572.7729,✅ Safe
2025-09-24 23:00:00,209.9421,✅ Safe
2025-09-25 00:00:00,-190.41527,✅ Safe
2025-09-25 01:00:00,-497.20618,✅ Safe
2025-09-25 02:00:00,-682.5843,✅ Safe
2025-09-25 03:00:00,-655.8927,✅ Safe
2025-09-25 04:00:00,-558.0178,✅ Safe
2025-09-25 05:00:00,-339.6677,✅ Safe
2025-09-25 06:00:00,-102.43569,✅ Safe
2025-09-25 07:00:00,151.09288,✅ Safe
2025-09-25 08:00:00,372.80032,✅ Safe
2025-09-25 09:00:00,500.5974,✅ Safe
2025-09-25 10:00:00,482.4468,✅ Safe
2025-09-25 11:00:00,349.88416,✅ Safe
2025-09-25 12:00:00,178.88715,✅ Safe
2025-09-25 13:00:00,-19.214357,✅ Safe
2025-09-25 14:00:00,-108.37838,✅ Safe
2025-09-25 15:00:00,-96.25914,✅ Safe
2025-09-25 16:00:00,34.36044,✅ Safe
2025-09-25 17:00:00,253.70924,✅ Safe
2025-09-25 18:00:00,473.72775,✅ Safe
2025-09-25 19:00:00,671.05444,✅ Safe
2025-09-25 20:00:00,801.5145,✅ Safe
2025-09-25 21:00:00,830.0644,✅ Safe
2025-09-25 22:00:00,667.76044,✅ Safe
2025-09-25 23:00:00,386.34036,✅ Safe
2025-09-26 00:00:00,0.6896856,✅ Safe
2025-09-26 01:00:00,-363.9481,✅ Safe
2025-09-26 02:00:00,-622.1759,✅ Safe
2025-09-26 03:00:00,-739.09814,✅ Safe
2025-09-26 04:00:00,-741.2369,✅ Safe
2025-09-26 05:00:00,-652.48724,✅ Safe
2025-09-26 06:00:00,-419.6438,✅ Safe
2025-09-26 07:00:00,-208.74739,✅ Safe
2025-09-26 08:00:00,49.822525,✅ Safe
2025-09-26 09:00:00,303.159,✅ Safe
2025-09-26 10:00:00,434.2554,✅ Safe
2025-09-26 11:00:00,442.33456,✅ Safe
2025-09-26 12:00:00,354.93655,✅ Safe
2025-09-26 13:00:00,201.49095,✅ Safe
2025-09-26 14:00:00,61.237026,✅ Safe
2025-09-26 15:00:00,-14.192258,✅ Safe
2025-09-26 16:00:00,38.05626,✅ Safe
2025-09-26 17:00:00,166.52135,✅ Safe
2025-09-26 18:00:00,353.0342,✅ Safe
2025-09-26 19:00:00,552.5611,✅ Safe
2025-09-26 20:00:00,753.61536,✅ Safe
2025-09-26 21:00:00,841.6038,✅ Safe
2025-09-26 22:00:00,768.06006,✅ Safe
2025-09-26 23:00:00,561.8279,✅ Safe
2025-09-27 00:00:00,262.00504,✅ Safe
2025-09-27 01:00:00,-156.84639,✅ Safe
2025-09-27 02:00:00,-517.73663,✅ Safe
2025-09-27 03:00:00,-742.955,✅ Safe
2025-09-27 04:00:00,-849.67883,✅ Safe
2025-09-27 05:00:00,-829.84406,✅ Safe
2025-09-27 06:00:00,-719.70374,✅ Safe
2025-09-27 07:00:00,-499.90405,✅ Safe
2025-09-27 08:00:00,-233.20514,✅ Safe
2025-09-27 09:00:00,29.402464,✅ Safe
2025-09-27 10:00:00,240.26323,✅ Safe
2025-09-27 11:00:00,396.78625,✅ Safe
2025-09-27 12:00:00,429.5529,✅ Safe
2025-09-27 13:00:00,357.20605,✅ Safe
2025-09-27 14:00:00,226.55214,✅ Safe
2025-09-27 15:00:00,106.16727,✅ Safe
2025-09-27 16:00:00,78.743454,✅ Safe
2025-09-27 17:00:00,131.22029,✅ Safe
2025-09-27 18:00:00,281.17825,✅ Safe
2025-09-27 19:00:00,462.71103,✅ Safe
2025-09-27 20:00:00,665.4698,✅ Safe
2025-09-27 21:00:00,810.2105,✅ Safe
2025-09-27 22:00:00,822.96,✅ Safe
2025-09-27 23:00:00,702.7035,✅ Safe
2025-09-28 00:00:00,467.08804,✅ Safe
2025-09-28 01:00:00,78.405334,✅ Safe
2025-09-28 02:00:00,-310.29926,✅ Safe
2025-09-28 03:00:00,-619.616,✅ Safe
2025-09-28 04:00:00,-825.05884,✅ Safe
2025-09-28 05:00:00,-900.1627,✅ Safe
2025-09-28 06:00:00,-870.77924,✅ Safe
2025-09-28 07:00:00,-730.1482,✅ Safe
2025-09-28 08:00:00,-475.28113,✅ Safe
2025-09-28 09:00:00,-207.10194,✅ Safe
2025-09-28 10:00:00,59.384903,✅ Safe
2025-09-28 11:00:00,281.74997,✅ Safe
2025-09-28 12:00:00,420.181,✅ Safe
2025-09-28 13:00:00,435.62244,✅ Safe
2025-09-28 14:00:00,339.69016,✅ Safe
2025-09-28 15:00:00,240.09827,✅ Safe
2025-09-28 16:00:00,120.941765,✅ Safe
2025-09-28 17:00:00,103.63044,✅ Safe
2025-09-28 18:00:00,155.0896,✅ Safe
2025-09-28 19:00:00,301.35626,✅ Safe
2025-09-28 20:00:00,494.44504,✅ Safe
2025-09-28 21:00:00,682.44977,✅ Safe
2025-09-28 22:00:00,809.5795,✅ Safe
2025-09-28 23:00:00,788.6515,✅ Safe
2025-09-29 00:00:00,631.7613,✅ Safe
2025-09-29 01:00:00,313.02728,✅ Safe
2025-09-29 02:00:00,-79.67227,✅ Safe
2025-09-29 03:00:00,-448.14624,✅ Safe
2025-09-29 04:00:00,-755.81195,✅ Safe
2025-09-29 05:00:00,-933.5218,✅ Safe
2025-09-29 06:00:00,-985.08044,✅ Safe
2025-09-29 07:00:00,-913.3748,✅ Safe
2025-09-29 08:00:00,-721.4159,✅ Safe
2025-09-29 09:00:00,-465.67627,✅ Safe
2025-09-29 10:00:00,-162.87299,✅ Safe
2025-09-29 11:00:00,124.313934,✅ Safe
2025-09-29 12:00:00,312.6994,✅ Safe
2025-09-29 13:00:00,424.14005,✅ Safe
2025-09-29 14:00:00,426.53787,✅ Safe
2025-09-29 15:00:00,336.95932,✅ Safe
2025-09-29 16:00:00,215.55164,✅ Safe
2025-09-29 17:00:00,122.19357,✅ Safe
2025-09-29 18:00:00,110.6233,✅ Safe
2025-09-29 19:00:00,161.44102,✅ Safe
2025-09-29 20:00:00,305.1217,✅ Safe
2025-09-29 21:00:00,492.34702,✅ Safe
2025-09-29 22:00:00,666.7025,✅ Safe
2025-09-29 23:00:00,761.57764,✅ Safe
2025-09-30 00:00:00,708.9235,✅ Safe
2025-09-30 01:00:00,500.6569,✅ Safe
2025-09-30 02:00:00,185.41243,✅ Safe
2025-09-30 03:00:00,-226.45128,✅ Safe
2025-09-30 04:00:00,-588.45447,✅ Safe
2025-09-30 05:00:00,-856.39606,✅ Safe
2025-09-30 06:00:00,-1019.0408,✅ Safe
2025-09-30 07:00:00,-1004.4996,✅ Safe
2025-09-30 08:00:00,-891.86456,✅ Safe
2025-09-30 09:00:00,-678.8169,✅ Safe
2025-09-30 10:00:00,-389.58588,✅ Safe
2025-09-30 11:00:00,-93.59045,✅ Safe
2025-09-30 12:00:00,165.8332,✅ Safe
2025-09-30 13:00:00,347.06125,✅ Safe
2025-09-30 14:00:00,425.72104,✅ Safe
2025-09-30 15:00:00,410.3416,✅ Safe
2025-09-30 16:00:00,303.1518,✅ Safe
2025-09-30 17:00:00,170.00403,✅ Safe
2025-09-30 18:00:00,76.256226,✅ Safe
2025-09-30 19:00:00,61.425915,✅ Safe
2025-09-30 20:00:00,127.988556,✅ Safe
2025-09-30 21:00:00,262.1089,✅ Safe
2025-09-30 22:00:00,443.69885,✅ Safe
2025-09-30 23:00:00,630.3179,✅ Safe
2025-10-01 00:00:00,701.95276,✅ Safe
2025-10-01 01:00:00,628.2714,✅ Safe
2025-10-01 02:00:00,436.82996,✅ Safe
2025-10-01 03:00:00,114.22807,✅ Safe
2025-10-01 04:00:00,-287.8562,✅ Safe
2025-10-01 05:00:00,-661.6717,✅ Safe
2025-10-01 06:00:00,-909.0857,✅ Safe
2025-10-01 07:00:00,-1034.444,✅ Safe
2025-10-01 08:00:00,-1017.4622,✅ Safe
2025-10-01 09:00:00,-868.9001,✅ Safe
2025-10-01 10:00:00,-615.99176,✅ Safe
