Actual (mm),Predicted (mm)
-120.29999999999994,-98.8738
345.80000000000007,364.16403
696.7999999999998,684.4262
904.5000000000001,824.45264
988.9000000000001,953.7176
972.9999999999999,977.1971
902.5999999999999,887.3611
784.9999999999999,793.9038
682.3000000000001,707.9658
624.9000000000001,650.4119
629.4999999999999,625.4704
673.0,651.1915
708.7,686.22205
694.5,673.4398
597.1999999999999,571.8632
373.5,357.3515
16.799999999999976,23.099174
-437.09999999999997,-369.7577
-934.9,-816.16473
-1371.3999999999999,-1286.5739
-1641.9999999999998,-1638.6892
-1695.1000000000001,-1758.6602
-1535.0999999999997,-1572.4938
-1193.8999999999999,-1183.9135
-689.0,-673.93384
-114.90000000000002,-101.185486
416.3000000000001,422.93076
823.1999999999999,796.8895
1068.8000000000002,989.0346
1164.9,1137.9645
1140.7,1145.2523
1028.4,1013.1057
850.5,820.54913
682.9999999999999,648.8561
569.6,544.525
541.2000000000002,510.1165
581.4,550.0961
633.8999999999999,612.1346
651.3,647.7483
601.4000000000001,598.34674
401.4,430.584
50.400000000000006,87.517136
-438.09999999999997,-359.44473
-982.3,-875.1163
-1485.3,-1413.4327
-1815.5,-1844.9231
-1897.4999999999998,-1986.7675
-1724.8000000000002,-1781.9318
-1315.0,-1338.9392
-712.1999999999999,-727.77954
-36.59999999999997,-34.31873
554.6,560.5352
975.9999999999999,956.8004
1210.0,1164.2196
1272.5000000000002,1285.4624
1192.9999999999998,1211.6667
1002.0000000000001,1009.69196
753.9,740.7768
512.6999999999999,507.8403
375.59999999999997,360.94742
380.3999999999999,341.7299
473.6,444.2726
601.5999999999999,588.7487
701.4999999999999,731.7166
704.3999999999999,759.6571
525.3999999999999,600.75586
128.59999999999997,205.25363
-411.0999999999999,-367.07877
-1042.3,-961.04645
-1632.6000000000001,-1595.1826
-2013.9,-2089.1726
-2083.5,-2191.6467
-1811.8000000000002,-1922.2001
-1294.6,-1351.1531
-580.1,-605.304
170.40000000000003,180.51302
793.1,768.4587
1188.8000000000002,1179.2466
1355.5,1378.7405
1319.1999999999998,1379.8109
1143.7000000000003,1197.734
859.4,865.46625
518.5000000000001,551.1793
252.79999999999995,254.80179
171.70000000000002,150.3848
258.00000000000006,234.584
457.3,459.01865
695.5,751.42786
881.0,972.3841
900.3,1010.57587
675.6999999999999,789.344
217.3999999999999,251.92293
-418.1,-444.27554
-1144.4,-1126.3152
