t,v,s
2024-11-13 00:00:00,1.6074000000000002,0.0094
2024-11-13 01:00:00,1.4965,0.0129
2024-11-13 02:00:00,1.1199999999999999,0.017499999999999998
2024-11-13 03:00:00,0.5182,0.0204
2024-11-13 04:00:00,-0.152,0.023
2024-11-13 05:00:00,-0.8211,0.0195
2024-11-13 06:00:00,-1.2896,0.0115
2024-11-13 07:00:00,-1.3257999999999999,0.011699999999999999
2024-11-13 08:00:00,-0.8957,0.0179
2024-11-13 09:00:00,-0.31379999999999997,0.0214
2024-11-13 10:00:00,0.4162,0.0232
2024-11-13 11:00:00,1.1432,0.022600000000000002
2024-11-13 12:00:00,1.6352,0.0147
2024-11-13 13:00:00,1.7789000000000001,0.0166
2024-11-13 14:00:00,1.5459,0.0182
2024-11-13 15:00:00,0.9978,0.024
2024-11-13 16:00:00,0.27890000000000004,0.0261
2024-11-13 17:00:00,-0.5326,0.0254
2024-11-13 18:00:00,-1.1879,0.0179
2024-11-13 19:00:00,-1.4439,0.0097
2024-11-13 20:00:00,-1.2344,0.0161
2024-11-13 21:00:00,-0.725,0.020399999999999998
2024-11-13 22:00:00,-0.0753,0.0264
2024-11-13 23:00:00,0.7504,0.027200000000000002
2024-11-14 00:00:00,1.4791,0.020399999999999998
2024-11-14 01:00:00,1.8367,0.0128
2024-11-14 02:00:00,1.7719,0.014299999999999998
2024-11-14 03:00:00,1.3447,0.0196
2024-11-14 04:00:00,0.7396,0.0213
2024-11-14 05:00:00,-0.0015000000000000013,0.023399999999999997
2024-11-14 06:00:00,-0.7345,0.0207
2024-11-14 07:00:00,-1.1933,0.009600000000000001
2024-11-14 08:00:00,-1.1552,0.010499999999999999
2024-11-14 09:00:00,-0.664,0.0241
2024-11-14 10:00:00,0.018099999999999998,0.0224
2024-11-14 11:00:00,0.7746000000000001,0.0249
2024-11-14 12:00:00,1.5558999999999998,0.0256
2024-11-14 13:00:00,2.0625999999999998,0.0165
2024-11-14 14:00:00,2.1051,0.015099999999999999
2024-11-14 15:00:00,1.7708,0.0193
2024-11-14 16:00:00,1.1208,0.0252
2024-11-14 17:00:00,0.3095,0.028200000000000003
2024-11-14 18:00:00,-0.5575,0.0257
2024-11-14 19:00:00,-1.239,0.0189
2024-11-14 20:00:00,-1.5565,0.008499999999999999
2024-11-14 21:00:00,-1.2967,0.0165
2024-11-14 22:00:00,-0.7579,0.019700000000000002
2024-11-14 23:00:00,-0.017300000000000003,0.025500000000000002
2024-11-15 00:00:00,0.8318,0.027000000000000003
2024-11-15 01:00:00,1.5297,0.016800000000000002
2024-11-15 02:00:00,1.8542,0.0107
2024-11-15 03:00:00,1.6826999999999999,0.0128
2024-11-15 04:00:00,1.2269999999999999,0.0166
2024-11-15 05:00:00,0.5995,0.0228
2024-11-15 06:00:00,-0.1852,0.0236
2024-11-15 07:00:00,-0.8973000000000001,0.018
2024-11-15 08:00:00,-1.3435000000000001,0.0082
2024-11-15 09:00:00,-1.2207000000000001,0.014400000000000001
2024-11-15 10:00:00,-0.6306,0.018
2024-11-15 11:00:00,0.06899999999999999,0.0243
2024-11-15 12:00:00,0.8713000000000001,0.027800000000000002
2024-11-15 13:00:00,1.7147,0.023799999999999998
2024-11-15 14:00:00,2.1835,0.0153
2024-11-15 15:00:00,2.2018,0.011899999999999999
2024-11-15 16:00:00,1.7291,0.0201
2024-11-15 17:00:00,0.9778,0.024399999999999998
2024-11-15 18:00:00,0.14950000000000002,0.028199999999999996
