t,v,s
2024-11-13 00:00:00,0.40700000000000003,0.0079
2024-11-13 01:00:00,0.38760000000000006,0.004399999999999999
2024-11-13 02:00:00,0.3895,0.0033
2024-11-13 03:00:00,0.40700000000000003,0.0029000000000000002
2024-11-13 04:00:00,0.43479999999999996,0.0058000000000000005
2024-11-13 05:00:00,0.48579999999999995,0.0078
2024-11-13 06:00:00,0.5159,0.006900000000000001
2024-11-13 07:00:00,0.5158,0.0047
2024-11-13 08:00:00,0.4967,0.0033
2024-11-13 09:00:00,0.46210000000000007,0.0043
2024-11-13 10:00:00,0.403,0.0034000000000000002
2024-11-13 11:00:00,0.3418,0.0049
2024-11-13 12:00:00,0.2596,0.0054
2024-11-13 13:00:00,0.196,0.004399999999999999
2024-11-13 14:00:00,0.1843,0.0054
2024-11-13 15:00:00,0.22290000000000001,0.006500000000000001
2024-11-13 16:00:00,0.2927,0.0076
2024-11-13 17:00:00,0.36019999999999996,0.0132
2024-11-13 18:00:00,0.41769999999999996,0.0076
2024-11-13 19:00:00,0.47379999999999994,0.0092
2024-11-13 20:00:00,0.5058,0.006900000000000001
2024-11-13 21:00:00,0.4965,0.0091
2024-11-13 22:00:00,0.48040000000000005,0.0087
2024-11-13 23:00:00,0.4542,0.0067
2024-11-14 00:00:00,0.43360000000000004,0.0087
2024-11-14 01:00:00,0.4035,0.0063
2024-11-14 02:00:00,0.36019999999999996,0.0086
2024-11-14 03:00:00,0.33740000000000003,0.0087
2024-11-14 04:00:00,0.3484,0.012199999999999999
2024-11-14 05:00:00,0.348,0.014100000000000001
2024-11-14 06:00:00,0.3382,0.0154
2024-11-14 07:00:00,0.3108,0.014499999999999999
2024-11-14 08:00:00,0.2505,0.0144
2024-11-14 09:00:00,0.1339,0.013500000000000002
2024-11-14 10:00:00,-0.0004999999999999998,0.0129
2024-11-14 11:00:00,-0.10540000000000001,0.0116
2024-11-14 12:00:00,-0.1807,0.013300000000000001
2024-11-14 13:00:00,-0.2294,0.010199999999999999
2024-11-14 14:00:00,-0.2285,0.0126
2024-11-14 15:00:00,-0.1659,0.013000000000000001
2024-11-14 16:00:00,-0.0749,0.014299999999999998
2024-11-14 17:00:00,0.0373,0.0157
2024-11-14 18:00:00,0.14830000000000002,0.0126
2024-11-14 19:00:00,0.2906,0.0123
2024-11-14 20:00:00,0.3886,0.0115
2024-11-14 21:00:00,0.41,0.0144
2024-11-14 22:00:00,0.40499999999999997,0.014799999999999999
2024-11-14 23:00:00,0.3809,0.0091
2024-11-15 00:00:00,0.36219999999999997,0.0113
2024-11-15 01:00:00,0.3377,0.0112
2024-11-15 02:00:00,0.3327,0.0087
2024-11-15 03:00:00,0.34130000000000005,0.006500000000000001
2024-11-15 04:00:00,0.3439,0.008799999999999999
2024-11-15 05:00:00,0.3637,0.0071
2024-11-15 06:00:00,0.3882,0.0111
2024-11-15 07:00:00,0.3981,0.0103
2024-11-15 08:00:00,0.3834,0.0086
2024-11-15 09:00:00,0.333,0.0077
2024-11-15 10:00:00,0.25270000000000004,0.0075
2024-11-15 11:00:00,0.1401,0.0068000000000000005
2024-11-15 12:00:00,0.0211,0.008799999999999999
2024-11-15 13:00:00,-0.0624,0.008700000000000001
2024-11-15 14:00:00,-0.0975,0.0092
2024-11-15 15:00:00,-0.0866,0.0104
2024-11-15 16:00:00,-0.0332,0.011899999999999999
2024-11-15 17:00:00,0.05550000000000001,0.0126
2024-11-15 18:00:00,0.1689,0.0129
2024-11-15 19:00:00,0.2941,0.011899999999999999
2024-11-15 20:00:00,0.42089999999999994,0.0108
2024-11-15 21:00:00,0.523,0.008
2024-11-15 22:00:00,0.5756,0.0128
2024-11-15 23:00:00,0.5875,0.006500000000000001
2024-11-16 00:00:00,0.5727,0.0068000000000000005
2024-11-16 01:00:00,0.5543,0.008
2024-11-16 02:00:00,0.5472,0.0095
2024-11-16 03:00:00,0.5504,0.0093
2024-11-16 04:00:00,0.5487,0.0058000000000000005
2024-11-16 05:00:00,0.5511,0.009999999999999998
2024-11-16 06:00:00,0.5662,0.0057
2024-11-16 07:00:00,0.5776999999999999,0.004
2024-11-16 08:00:00,0.5734999999999999,0.0066
2024-11-16 09:00:00,0.5508,0.0056
2024-11-16 10:00:00,0.495,0.007000000000000001
2024-11-16 11:00:00,0.3996,0.0102
2024-11-16 12:00:00,0.2586,0.0111
2024-11-16 13:00:00,0.11279999999999998,0.0073999999999999995
2024-11-16 14:00:00,0.0339,0.0048000000000000004
2024-11-16 15:00:00,0.004,0.0047
2024-11-16 16:00:00,0.0134,0.006
2024-11-16 17:00:00,0.06989999999999999,0.008499999999999999
2024-11-16 18:00:00,0.1815,0.0186
2024-11-16 19:00:00,0.31720000000000004,0.009600000000000001
2024-11-16 20:00:00,0.4444,0.0087
2024-11-16 21:00:00,0.561,0.009999999999999998
2024-11-16 22:00:00,0.6602,0.027000000000000003
2024-11-16 23:00:00,0.7001,0.0091
2024-11-17 00:00:00,0.6999,0.0104
2024-11-17 01:00:00,0.6848,0.0054
2024-11-17 02:00:00,0.6717000000000001,0.0057
2024-11-17 03:00:00,0.6842,0.0062
2024-11-17 04:00:00,0.7087999999999999,0.0056
2024-11-17 05:00:00,0.7242999999999999,0.007200000000000001
2024-11-17 06:00:00,0.7349,0.0067
2024-11-17 07:00:00,0.7413000000000001,0.0060999999999999995
2024-11-17 08:00:00,0.726,0.0086
2024-11-17 09:00:00,0.6984999999999999,0.0085
2024-11-17 10:00:00,0.6489,0.0058000000000000005
2024-11-17 11:00:00,0.5700000000000001,0.0099
2024-11-17 12:00:00,0.4375,0.0101
2024-11-17 13:00:00,0.2811,0.006900000000000001
2024-11-17 14:00:00,0.1573,0.006500000000000001
2024-11-17 15:00:00,0.0685,0.0079
2024-11-17 16:00:00,0.0204,0.0057
2024-11-17 17:00:00,0.0273,0.0047
2024-11-17 18:00:00,0.0895,0.0045
2024-11-17 19:00:00,0.1878,0.005
2024-11-17 20:00:00,0.31310000000000004,0.0058000000000000005
2024-11-17 21:00:00,0.44299999999999995,0.0070999999999999995
2024-11-17 22:00:00,0.5589000000000001,0.0149
2024-11-17 23:00:00,0.6486000000000001,0.011699999999999999
2024-11-18 00:00:00,0.6923,0.0126
2024-11-18 01:00:00,0.7003,0.0079
2024-11-18 02:00:00,0.7011999999999999,0.0043
2024-11-18 03:00:00,0.6999,0.0054
2024-11-18 04:00:00,0.7125,0.005
2024-11-18 05:00:00,0.7154999999999999,0.005
2024-11-18 06:00:00,0.7281,0.0046
2024-11-18 07:00:00,0.7558,0.0048000000000000004
2024-11-18 08:00:00,0.7605999999999999,0.0056
2024-11-18 09:00:00,0.7671,0.0057
2024-11-18 10:00:00,0.7358,0.0059
2024-11-18 11:00:00,0.6838,0.011899999999999999
2024-11-18 12:00:00,0.6115,0.008799999999999999
2024-11-18 13:00:00,0.5189,0.007000000000000001
2024-11-18 14:00:00,0.4112,0.0055
2024-11-18 15:00:00,0.3023,0.0099
2024-11-18 16:00:00,0.2205,0.0059
2024-11-18 17:00:00,0.1627,0.0068000000000000005
2024-11-18 18:00:00,0.1723,0.004
2024-11-18 19:00:00,0.22240000000000001,0.0045
2024-11-18 20:00:00,0.296,0.0094
2024-11-18 21:00:00,0.4135,0.0077
2024-11-18 22:00:00,0.5192,0.013500000000000002
