t,v,s
2024-11-20 00:00:00,-0.1403,0.0166
2024-11-20 01:00:00,-0.12840000000000001,0.0186
2024-11-20 02:00:00,-0.0996,0.016900000000000002
2024-11-20 03:00:00,-0.05589999999999999,0.0167
2024-11-20 04:00:00,-0.027200000000000002,0.0155
2024-11-20 05:00:00,0.0059,0.014599999999999998
2024-11-20 06:00:00,0.004,0.014499999999999999
2024-11-20 07:00:00,-0.0353,0.0131
2024-11-20 08:00:00,-0.0661,0.0144
2024-11-20 09:00:00,-0.08449999999999999,0.0159
2024-11-20 10:00:00,-0.0859,0.0169
2024-11-20 11:00:00,-0.0443,0.0157
2024-11-20 12:00:00,0.0331,0.0184
2024-11-20 13:00:00,0.1493,0.0166
2024-11-20 14:00:00,0.2661,0.0166
2024-11-20 15:00:00,0.36619999999999997,0.016
2024-11-20 16:00:00,0.45949999999999996,0.0166
2024-11-20 17:00:00,0.5049,0.0159
2024-11-20 18:00:00,0.49770000000000003,0.0162
2024-11-20 19:00:00,0.4471,0.0157
2024-11-20 20:00:00,0.33799999999999997,0.0153
2024-11-20 21:00:00,0.2098,0.0171
2024-11-20 22:00:00,0.1022,0.0174
2024-11-20 23:00:00,-0.01,0.0154
2024-11-21 00:00:00,-0.0878,0.0153
2024-11-21 01:00:00,-0.135,0.0137
2024-11-21 02:00:00,-0.1292,0.0153
2024-11-21 03:00:00,-0.09159999999999999,0.016800000000000002
2024-11-21 04:00:00,-0.0509,0.0183
2024-11-21 05:00:00,-0.0024000000000000002,0.0196
2024-11-21 06:00:00,0.0378,0.018
2024-11-21 07:00:00,0.0418,0.013599999999999998
2024-11-21 08:00:00,0.0022,0.0132
2024-11-21 09:00:00,-0.0158,0.0144
2024-11-21 10:00:00,-0.0259,0.0131
2024-11-21 11:00:00,-0.0018,0.0128
2024-11-21 12:00:00,0.0257,0.013300000000000001
2024-11-21 13:00:00,0.0696,0.014000000000000002
2024-11-21 14:00:00,0.1571,0.014599999999999998
2024-11-21 15:00:00,0.2589,0.0155
2024-11-21 16:00:00,0.3517,0.016
2024-11-21 17:00:00,0.4138,0.0147
2024-11-21 18:00:00,0.46390000000000003,0.013600000000000001
2024-11-21 19:00:00,0.47969999999999996,0.013800000000000002
2024-11-21 20:00:00,0.4302,0.0125
2024-11-21 21:00:00,0.3101,0.0125
2024-11-21 22:00:00,0.1877,0.0147
2024-11-21 23:00:00,0.0776,0.013600000000000001
2024-11-22 00:00:00,-0.0158,0.0126
2024-11-22 01:00:00,-0.0915,0.0131
2024-11-22 02:00:00,-0.1244,0.0125
2024-11-22 03:00:00,-0.12390000000000001,0.0152
2024-11-22 04:00:00,-0.0824,0.014099999999999998
2024-11-22 05:00:00,-0.019700000000000002,0.0132
2024-11-22 06:00:00,0.0385,0.0129
