t,v,s
2024-11-20 00:00:00,-0.7466,0.0215
2024-11-20 01:00:00,-0.9621999999999999,0.0224
2024-11-20 02:00:00,-1.0358,0.0242
2024-11-20 03:00:00,-0.9814999999999999,0.027200000000000002
2024-11-20 04:00:00,-0.8090999999999999,0.0194
2024-11-20 05:00:00,-0.5451,0.020300000000000002
2024-11-20 06:00:00,-0.27949999999999997,0.0178
2024-11-20 07:00:00,-0.035699999999999996,0.016599999999999997
2024-11-20 08:00:00,0.11739999999999999,0.0189
2024-11-20 09:00:00,0.1847,0.0184
2024-11-20 10:00:00,0.1804,0.016999999999999998
2024-11-20 11:00:00,0.1296,0.0174
2024-11-20 12:00:00,0.057699999999999994,0.019
2024-11-20 13:00:00,0.039799999999999995,0.019700000000000002
2024-11-20 14:00:00,0.06999999999999999,0.0217
2024-11-20 15:00:00,0.156,0.0184
2024-11-20 16:00:00,0.3141,0.0206
2024-11-20 17:00:00,0.4725,0.0206
2024-11-20 18:00:00,0.6035999999999999,0.022600000000000002
2024-11-20 19:00:00,0.6388,0.0295
2024-11-20 20:00:00,0.601,0.0242
2024-11-20 21:00:00,0.4327,0.0242
2024-11-20 22:00:00,0.1768,0.0235
2024-11-20 23:00:00,-0.1271,0.0247
2024-11-21 00:00:00,-0.4551,0.0233
2024-11-21 01:00:00,-0.7145,0.0222
2024-11-21 02:00:00,-0.9009,0.019
2024-11-21 03:00:00,-0.9751999999999998,0.0225
2024-11-21 04:00:00,-0.9168,0.020999999999999998
2024-11-21 05:00:00,-0.7589,0.0191
2024-11-21 06:00:00,-0.5292,0.019200000000000002
2024-11-21 07:00:00,-0.2656,0.020200000000000003
2024-11-21 08:00:00,-0.061399999999999996,0.02
2024-11-21 09:00:00,0.11000000000000001,0.0188
2024-11-21 10:00:00,0.2004,0.0195
2024-11-21 11:00:00,0.2098,0.023
2024-11-21 12:00:00,0.1658,0.0236
2024-11-21 13:00:00,0.1041,0.0232
2024-11-21 14:00:00,0.0593,0.0209
2024-11-21 15:00:00,0.0571,0.0223
2024-11-21 16:00:00,0.11939999999999999,0.0227
2024-11-21 17:00:00,0.2104,0.0247
2024-11-21 18:00:00,0.31930000000000003,0.0306
2024-11-21 19:00:00,0.4096,0.0264
2024-11-21 20:00:00,0.4527,0.026000000000000002
2024-11-21 21:00:00,0.4266,0.0262
2024-11-21 22:00:00,0.3177,0.029100000000000004
2024-11-21 23:00:00,0.1276,0.026500000000000003
2024-11-22 00:00:00,-0.11779999999999999,0.027100000000000003
2024-11-22 01:00:00,-0.384,0.0251
2024-11-22 02:00:00,-0.6169,0.023899999999999998
2024-11-22 03:00:00,-0.7764,0.0231
2024-11-22 04:00:00,-0.8384,0.020499999999999997
2024-11-22 05:00:00,-0.7846,0.0205
2024-11-22 06:00:00,-0.6591,0.0208
2024-11-22 07:00:00,-0.44020000000000004,0.022
2024-11-22 08:00:00,-0.1924,0.0234
2024-11-22 09:00:00,0.0223,0.0235
2024-11-22 10:00:00,0.1934,0.0246
2024-11-22 11:00:00,0.28600000000000003,0.0246
2024-11-22 12:00:00,0.29769999999999996,0.0294
2024-11-22 13:00:00,0.2351,0.0258
2024-11-22 14:00:00,0.15389999999999998,0.0227
2024-11-22 15:00:00,0.0751,0.0243
2024-11-22 16:00:00,0.0317,0.0234
2024-11-22 17:00:00,0.026000000000000002,0.023799999999999998
2024-11-22 18:00:00,0.0745,0.025
2024-11-22 19:00:00,0.1559,0.0267
2024-11-22 20:00:00,0.23959999999999998,0.023399999999999997
2024-11-22 21:00:00,0.3045,0.022899999999999997
2024-11-22 22:00:00,0.3135,0.0234
2024-11-22 23:00:00,0.2501,0.0309
2024-11-23 00:00:00,0.1079,0.0263
2024-11-23 01:00:00,-0.0831,0.026600000000000002
2024-11-23 02:00:00,-0.31579999999999997,0.0254
2024-11-23 03:00:00,-0.5301,0.0212
2024-11-23 04:00:00,-0.6663,0.0218
2024-11-23 05:00:00,-0.7209,0.0213
2024-11-23 06:00:00,-0.6731,0.024
2024-11-23 07:00:00,-0.5236,0.0211
2024-11-23 08:00:00,-0.31120000000000003,0.0214
2024-11-23 09:00:00,-0.0602,0.0223
2024-11-23 10:00:00,0.1498,0.020200000000000003
2024-11-23 11:00:00,0.31389999999999996,0.0254
2024-11-23 12:00:00,0.3981,0.023799999999999998
2024-11-23 13:00:00,0.3974,0.0254
2024-11-23 14:00:00,0.3068,0.0242
2024-11-23 15:00:00,0.1678,0.027700000000000002
2024-11-23 16:00:00,0.03,0.0221
2024-11-23 17:00:00,-0.055799999999999995,0.023899999999999998
2024-11-23 18:00:00,-0.1045,0.0242
2024-11-23 19:00:00,-0.09570000000000001,0.0225
2024-11-23 20:00:00,-0.021200000000000004,0.0249
2024-11-23 21:00:00,0.0877,0.0258
2024-11-23 22:00:00,0.1796,0.025
2024-11-23 23:00:00,0.23199999999999998,0.025
2024-11-24 00:00:00,0.21230000000000002,0.023
2024-11-24 01:00:00,0.11279999999999998,0.0216
2024-11-24 02:00:00,-0.0702,0.0243
2024-11-24 03:00:00,-0.27949999999999997,0.0262
2024-11-24 04:00:00,-0.4585,0.023899999999999998
2024-11-24 05:00:00,-0.5938,0.0199
2024-11-24 06:00:00,-0.6306,0.0203
2024-11-24 07:00:00,-0.5475,0.0218
