t,v,s
2024-11-13 00:00:00,0.5161,0.0062
2024-11-13 01:00:00,0.3312,0.0039
2024-11-13 02:00:00,0.16670000000000001,0.0027
2024-11-13 03:00:00,0.0263,0.0021999999999999997
2024-11-13 04:00:00,-0.0469,0.0016
2024-11-13 05:00:00,-0.02,0.0034000000000000002
2024-11-13 06:00:00,0.098,0.006500000000000001
2024-11-13 07:00:00,0.2684,0.008799999999999999
2024-11-13 08:00:00,0.4307,0.0104
2024-11-13 09:00:00,0.5988,0.0123
2024-11-13 10:00:00,0.7323000000000001,0.012
2024-11-13 11:00:00,0.791,0.011899999999999999
2024-11-13 12:00:00,0.7234,0.011699999999999999
2024-11-13 13:00:00,0.5425,0.0093
2024-11-13 14:00:00,0.3637,0.0064
2024-11-13 15:00:00,0.2097,0.0043
2024-11-13 16:00:00,0.0968,0.0039
2024-11-13 17:00:00,0.06620000000000001,0.0058000000000000005
2024-11-13 18:00:00,0.1356,0.0092
2024-11-13 19:00:00,0.2733,0.0128
2024-11-13 20:00:00,0.4344,0.0169
2024-11-13 21:00:00,0.596,0.0189
2024-11-13 22:00:00,0.7361,0.0189
2024-11-13 23:00:00,0.8014000000000001,0.0204
2024-11-14 00:00:00,0.7578,0.0199
2024-11-14 01:00:00,0.5939,0.0131
2024-11-14 02:00:00,0.3936,0.0076
2024-11-14 03:00:00,0.2136,0.0036000000000000003
2024-11-14 04:00:00,0.0693,0.0028
2024-11-14 05:00:00,9.999999999999991e-05,0.0031
2024-11-14 06:00:00,0.0127,0.0051
2024-11-14 07:00:00,0.1323,0.012
2024-11-14 08:00:00,0.3331,0.015
2024-11-14 09:00:00,0.5136000000000001,0.0194
2024-11-14 10:00:00,0.6887000000000001,0.0213
2024-11-14 11:00:00,0.8269,0.0217
2024-11-14 12:00:00,0.8698,0.0194
2024-11-14 13:00:00,0.7621,0.015099999999999999
2024-11-14 14:00:00,0.5666,0.0103
2024-11-14 15:00:00,0.3778,0.0057
2024-11-14 16:00:00,0.1991,0.0036999999999999997
2024-11-14 17:00:00,0.0791,0.0033
2024-11-14 18:00:00,0.0538,0.004
2024-11-14 19:00:00,0.1329,0.0081
2024-11-14 20:00:00,0.3016,0.0107
2024-11-14 21:00:00,0.4821,0.0112
2024-11-14 22:00:00,0.6275999999999999,0.0123
2024-11-14 23:00:00,0.7524,0.0127
2024-11-15 00:00:00,0.7895000000000001,0.0112
2024-11-15 01:00:00,0.6778000000000001,0.0091
2024-11-15 02:00:00,0.4756,0.0058000000000000005
2024-11-15 03:00:00,0.2944,0.0036999999999999997
2024-11-15 04:00:00,0.1082,0.0039
2024-11-15 05:00:00,-0.0396,0.0027
2024-11-15 06:00:00,-0.1129,0.0016
2024-11-15 07:00:00,-0.0731,0.0027
2024-11-15 08:00:00,0.0766,0.0047
2024-11-15 09:00:00,0.2868,0.0064
2024-11-15 10:00:00,0.47400000000000003,0.0076
2024-11-15 11:00:00,0.6527999999999999,0.0060999999999999995
2024-11-15 12:00:00,0.7962,0.007000000000000001
2024-11-15 13:00:00,0.8384,0.007299999999999999
2024-11-15 14:00:00,0.7232000000000001,0.0057
2024-11-15 15:00:00,0.5141,0.0043
2024-11-15 16:00:00,0.33130000000000004,0.0036000000000000003
2024-11-15 17:00:00,0.1804,0.0051
2024-11-15 18:00:00,0.08109999999999999,0.0025
2024-11-15 19:00:00,0.0731,0.0032
2024-11-15 20:00:00,0.175,0.0041
2024-11-15 21:00:00,0.3608,0.005200000000000001
2024-11-15 22:00:00,0.5405,0.0062
2024-11-15 23:00:00,0.7022,0.007000000000000001
2024-11-16 00:00:00,0.8138,0.006500000000000001
2024-11-16 01:00:00,0.8507,0.0089
2024-11-16 02:00:00,0.7384000000000001,0.0085
2024-11-16 03:00:00,0.5297,0.0064
2024-11-16 04:00:00,0.3322,0.0046
2024-11-16 05:00:00,0.1484,0.0038
2024-11-16 06:00:00,0.0115,0.0029000000000000002
2024-11-16 07:00:00,-0.0376,0.0046
2024-11-16 08:00:00,0.0184,0.005300000000000001
2024-11-16 09:00:00,0.184,0.0095
2024-11-16 10:00:00,0.39580000000000004,0.011
2024-11-16 11:00:00,0.5928,0.011699999999999999
2024-11-16 12:00:00,0.7868,0.0131
2024-11-16 13:00:00,0.913,0.0129
2024-11-16 14:00:00,0.9160999999999999,0.011899999999999999
2024-11-16 15:00:00,0.756,0.0101
2024-11-16 16:00:00,0.5367,0.007000000000000001
2024-11-16 17:00:00,0.3559,0.0056
2024-11-16 18:00:00,0.20190000000000002,0.0047
2024-11-16 19:00:00,0.1096,0.0047
2024-11-16 20:00:00,0.12110000000000001,0.007200000000000001
2024-11-16 21:00:00,0.2299,0.0104
2024-11-16 22:00:00,0.40380000000000005,0.013500000000000002
2024-11-16 23:00:00,0.5673,0.0159
2024-11-17 00:00:00,0.7296,0.0149
2024-11-17 01:00:00,0.836,0.0165
2024-11-17 02:00:00,0.8301999999999999,0.015
2024-11-17 03:00:00,0.6774,0.010199999999999999
2024-11-17 04:00:00,0.4699,0.006999999999999999
2024-11-17 05:00:00,0.2771,0.005
2024-11-17 06:00:00,0.09759999999999999,0.004200000000000001
2024-11-17 07:00:00,-0.0251,0.0035000000000000005
2024-11-17 08:00:00,-0.0712,0.0028
2024-11-17 09:00:00,-0.0068000000000000005,0.0062
2024-11-17 10:00:00,0.164,0.0091
2024-11-17 11:00:00,0.36469999999999997,0.0093
2024-11-17 12:00:00,0.5447,0.0099
2024-11-17 13:00:00,0.7163999999999999,0.0108
2024-11-17 14:00:00,0.8225,0.011
2024-11-17 15:00:00,0.8097,0.010499999999999999
2024-11-17 16:00:00,0.6491,0.0084
2024-11-17 17:00:00,0.44980000000000003,0.006900000000000001
2024-11-17 18:00:00,0.2817,0.0051
2024-11-17 19:00:00,0.1339,0.0038
2024-11-17 20:00:00,0.0598,0.0047
2024-11-17 21:00:00,0.0945,0.007200000000000001
2024-11-17 22:00:00,0.2133,0.0101
2024-11-17 23:00:00,0.3782,0.011699999999999999
2024-11-18 00:00:00,0.542,0.0113
2024-11-18 01:00:00,0.7003,0.0118
2024-11-18 02:00:00,0.7981,0.0116
2024-11-18 03:00:00,0.7838,0.010100000000000001
2024-11-18 04:00:00,0.6256,0.0082
2024-11-18 05:00:00,0.42190000000000005,0.0057
2024-11-18 06:00:00,0.24559999999999998,0.0039
2024-11-18 07:00:00,0.0826,0.0026000000000000003
2024-11-18 08:00:00,-0.0191,0.0018000000000000002
2024-11-18 09:00:00,-0.0454,0.0036
2024-11-18 10:00:00,0.0346,0.009
2024-11-18 11:00:00,0.2076,0.0089
2024-11-18 12:00:00,0.3955,0.0081
2024-11-18 13:00:00,0.5689,0.0079
2024-11-18 14:00:00,0.7237,0.0073999999999999995
2024-11-18 15:00:00,0.8030000000000002,0.0077
2024-11-18 16:00:00,0.7603,0.0071
2024-11-18 17:00:00,0.5897,0.0058000000000000005
