t,v,s
2024-09-24 00:00:00,0.2294,0.0052
2024-09-24 01:00:00,0.2932,0.0033
2024-09-24 02:00:00,0.3512,0.0041
2024-09-24 03:00:00,0.40970000000000006,0.0035000000000000005
2024-09-24 04:00:00,0.4596,0.003
2024-09-24 05:00:00,0.49559999999999993,0.0021999999999999997
2024-09-24 06:00:00,0.5214000000000001,0.0021999999999999997
2024-09-24 07:00:00,0.5371,0.0012000000000000001
2024-09-24 08:00:00,0.5315000000000001,0.0010999999999999998
2024-09-24 09:00:00,0.5143,0.0018000000000000002
2024-09-24 10:00:00,0.48129999999999995,0.0013000000000000002
2024-09-24 11:00:00,0.4263,0.0034000000000000002
2024-09-24 12:00:00,0.3625,0.0021999999999999997
2024-09-24 13:00:00,0.2872,0.0031
2024-09-24 14:00:00,0.2192,0.0029000000000000002
2024-09-24 15:00:00,0.15789999999999998,0.0028
2024-09-24 16:00:00,0.10940000000000001,0.003
2024-09-24 17:00:00,0.0636,0.0028
2024-09-24 18:00:00,0.0379,0.0027
2024-09-24 19:00:00,0.0158,0.0028
2024-09-24 20:00:00,0.011300000000000001,0.0028
2024-09-24 21:00:00,0.033,0.0025
2024-09-24 22:00:00,0.072,0.003
2024-09-24 23:00:00,0.1258,0.003
2024-09-25 00:00:00,0.1911,0.0028
2024-09-25 01:00:00,0.2581,0.0027
2024-09-25 02:00:00,0.3097,0.0031
2024-09-25 03:00:00,0.3635,0.0043
2024-09-25 04:00:00,0.4197,0.0026000000000000003
2024-09-25 05:00:00,0.4598,0.0026000000000000003
2024-09-25 06:00:00,0.5055,0.002
2024-09-25 07:00:00,0.5327,0.0014
2024-09-25 08:00:00,0.5412000000000001,0.0032
2024-09-25 09:00:00,0.5406000000000001,0.0017000000000000001
2024-09-25 10:00:00,0.5317000000000001,0.0009000000000000001
2024-09-25 11:00:00,0.5088,0.0026000000000000003
2024-09-25 12:00:00,0.47859999999999997,0.0015
2024-09-25 13:00:00,0.44020000000000004,0.0023
2024-09-25 14:00:00,0.3675,0.0043
2024-09-25 15:00:00,0.2895,0.004
2024-09-25 16:00:00,0.22560000000000002,0.003
2024-09-25 17:00:00,0.17350000000000002,0.0028
2024-09-25 18:00:00,0.1443,0.0025
2024-09-25 19:00:00,0.11420000000000001,0.0035000000000000005
2024-09-25 20:00:00,0.0953,0.0026000000000000003
2024-09-25 21:00:00,0.0962,0.0028
2024-09-25 22:00:00,0.1123,0.0038
2024-09-25 23:00:00,0.1463,0.0034000000000000002
2024-09-26 00:00:00,0.19870000000000002,0.0043
2024-09-26 01:00:00,0.2642,0.0033
2024-09-26 02:00:00,0.3203,0.0031
2024-09-26 03:00:00,0.3568,0.0039
2024-09-26 04:00:00,0.4091,0.004
2024-09-26 05:00:00,0.477,0.005
2024-09-26 06:00:00,0.5281,0.004200000000000001
2024-09-26 07:00:00,0.5249,0.005
2024-09-26 08:00:00,0.5559000000000001,0.005200000000000001
