t,v,s
2024-11-20 00:00:00,0.002299999999999998,0.0519
2024-11-20 01:00:00,0.3069,0.0308
2024-11-20 02:00:00,0.5684,0.035199999999999995
2024-11-20 03:00:00,0.7494,0.0325
2024-11-20 04:00:00,0.8029,0.0214
2024-11-20 05:00:00,0.6652,0.0196
2024-11-20 06:00:00,0.3765,0.0304
2024-11-20 07:00:00,0.07050000000000001,0.019700000000000002
2024-11-20 08:00:00,-0.1395,0.0168
2024-11-20 09:00:00,-0.29169999999999996,0.0206
2024-11-20 10:00:00,-0.3229,0.0188
2024-11-20 11:00:00,-0.1051,0.0573
2024-11-20 12:00:00,0.2586,0.0771
2024-11-20 13:00:00,0.6094,0.0785
2024-11-20 14:00:00,0.8544,0.0751
2024-11-20 15:00:00,0.9879,0.06899999999999999
2024-11-20 16:00:00,1.0685,0.05789999999999999
2024-11-20 17:00:00,0.9785999999999999,0.05620000000000001
2024-11-20 18:00:00,0.7382,0.0702
2024-11-20 19:00:00,0.384,0.0595
2024-11-20 20:00:00,0.059,0.06420000000000001
2024-11-20 21:00:00,-0.1699,0.08149999999999999
2024-11-20 22:00:00,-0.324,0.08149999999999999
2024-11-20 23:00:00,-0.2867,0.08070000000000001
2024-11-21 00:00:00,-0.0541,0.0617
2024-11-21 01:00:00,0.20800000000000002,0.0375
2024-11-21 02:00:00,0.4702,0.055200000000000006
2024-11-21 03:00:00,0.7150000000000001,0.042499999999999996
2024-11-21 04:00:00,0.9465,0.023899999999999998
2024-11-21 05:00:00,1.0385,0.013300000000000001
2024-11-21 06:00:00,0.9302999999999999,0.0162
2024-11-21 07:00:00,0.7241,0.0227
2024-11-21 08:00:00,0.42350000000000004,0.0245
2024-11-21 09:00:00,0.2495,0.0167
2024-11-21 10:00:00,0.0964,0.0294
2024-11-21 11:00:00,-0.1189,0.0591
2024-11-21 12:00:00,0.046900000000000004,0.08149999999999999
2024-11-21 13:00:00,0.5448999999999999,0.0819
2024-11-21 14:00:00,0.9406000000000001,0.0814
2024-11-21 15:00:00,1.0113999999999999,0.0602
2024-11-21 16:00:00,1.0062,0.0538
2024-11-21 17:00:00,1.1423999999999999,0.0491
2024-11-21 18:00:00,1.1653,0.0668
2024-11-21 19:00:00,1.0114,0.0723
2024-11-21 20:00:00,0.7102,0.0723
2024-11-21 21:00:00,0.42110000000000003,0.0848
2024-11-21 22:00:00,0.122,0.0761
2024-11-21 23:00:00,-0.14150000000000001,0.06970000000000001
2024-11-22 00:00:00,-0.2157,0.0637
2024-11-22 01:00:00,-0.07139999999999999,0.0354
2024-11-22 02:00:00,0.18719999999999998,0.0385
2024-11-22 03:00:00,0.41200000000000003,0.0315
2024-11-22 04:00:00,0.6764,0.033600000000000005
2024-11-22 05:00:00,0.8068,0.014599999999999998
2024-11-22 06:00:00,0.8169000000000001,0.0184
2024-11-22 07:00:00,0.603,0.0288
2024-11-22 08:00:00,0.3303,0.0288
2024-11-22 09:00:00,0.1622,0.0534
2024-11-22 10:00:00,0.0248,0.06870000000000001
2024-11-22 11:00:00,-0.1508,0.0945
2024-11-22 12:00:00,-0.27090000000000003,0.1106
2024-11-22 13:00:00,-0.1525,0.0786
2024-11-22 14:00:00,0.1278,0.0683
2024-11-22 15:00:00,0.4817,0.055600000000000004
2024-11-22 16:00:00,0.7141,0.045200000000000004
2024-11-22 17:00:00,0.8095000000000001,0.0639
2024-11-22 18:00:00,0.8079000000000001,0.0601
2024-11-22 19:00:00,0.7312000000000001,0.0617
2024-11-22 20:00:00,0.5436,0.0663
2024-11-22 21:00:00,0.3166,0.0658
2024-11-22 22:00:00,0.1243,0.0762
2024-11-22 23:00:00,-0.0633,0.0631
2024-11-23 00:00:00,-0.2036,0.0543
2024-11-23 01:00:00,-0.2137,0.036699999999999997
2024-11-23 02:00:00,-0.0691,0.0343
2024-11-23 03:00:00,0.2092,0.027800000000000002
2024-11-23 04:00:00,0.5325,0.0351
2024-11-23 05:00:00,0.7727,0.0132
2024-11-23 06:00:00,0.915,0.0125
2024-11-23 07:00:00,0.9189999999999999,0.013900000000000001
2024-11-23 08:00:00,0.7729999999999999,0.0121
2024-11-23 09:00:00,0.5596,0.022600000000000002
2024-11-23 10:00:00,0.3211,0.0179
2024-11-23 11:00:00,0.0784,0.029699999999999997
2024-11-23 12:00:00,-0.0494,0.034699999999999995
2024-11-23 13:00:00,-0.1381,0.028600000000000004
2024-11-23 14:00:00,-0.038,0.029099999999999997
2024-11-23 15:00:00,0.1365,0.0429
2024-11-23 16:00:00,0.28300000000000003,0.0365
2024-11-23 17:00:00,0.35509999999999997,0.0538
2024-11-23 18:00:00,0.36970000000000003,0.047799999999999995
2024-11-23 19:00:00,0.4288,0.05600000000000001
2024-11-23 20:00:00,0.33449999999999996,0.0511
2024-11-23 21:00:00,0.1361,0.0479
2024-11-23 22:00:00,-0.1474,0.0388
2024-11-23 23:00:00,-0.3641,0.0325
2024-11-24 00:00:00,-0.47000000000000003,0.03319999999999999
2024-11-24 01:00:00,-0.569,0.0323
2024-11-24 02:00:00,-0.6211,0.0227
2024-11-24 03:00:00,-0.48040000000000005,0.0183
2024-11-24 04:00:00,-0.20329999999999998,0.0152
2024-11-24 05:00:00,0.048299999999999996,0.011899999999999999
2024-11-24 06:00:00,0.2212,0.013999999999999999
2024-11-24 07:00:00,0.3081,0.013300000000000001
2024-11-24 08:00:00,0.2835,0.0158
2024-11-24 09:00:00,0.1545,0.0159
2024-11-24 10:00:00,0.0132,0.0188
2024-11-24 11:00:00,-0.1972,0.028900000000000002
2024-11-24 12:00:00,-0.4112,0.0298
2024-11-24 13:00:00,-0.6132,0.0359
2024-11-24 14:00:00,-0.698,0.0379
2024-11-24 15:00:00,-0.5811,0.0442
2024-11-24 16:00:00,-0.3827,0.0368
2024-11-24 17:00:00,-0.1736,0.0433
2024-11-24 18:00:00,-0.0058000000000000005,0.0487
2024-11-24 19:00:00,0.1035,0.0446
2024-11-24 20:00:00,0.11339999999999999,0.06420000000000001
2024-11-24 21:00:00,0.06870000000000001,0.0493
2024-11-24 22:00:00,-0.022,0.053500000000000006
2024-11-24 23:00:00,-0.22490000000000002,0.0375
2024-11-25 00:00:00,-0.4777,0.048299999999999996
2024-11-25 01:00:00,-0.6907,0.028700000000000003
2024-11-25 02:00:00,-0.8526,0.0249
2024-11-25 03:00:00,-0.8474999999999999,0.0219
2024-11-25 04:00:00,-0.6365000000000001,0.023399999999999997
2024-11-25 05:00:00,-0.303,0.012199999999999999
2024-11-25 06:00:00,0.0198,0.011699999999999999
2024-11-25 07:00:00,0.21550000000000002,0.0153
2024-11-25 08:00:00,0.296,0.0134
2024-11-25 09:00:00,0.27759999999999996,0.012
2024-11-25 10:00:00,0.1787,0.0237
2024-11-25 11:00:00,-0.002099999999999999,0.0513
2024-11-25 12:00:00,-0.242,0.0758
2024-11-25 13:00:00,-0.4401,0.0738
2024-11-25 14:00:00,-0.5589000000000001,0.0777
2024-11-25 15:00:00,-0.5341,0.0652
2024-11-25 16:00:00,-0.3848,0.0466
2024-11-25 17:00:00,-0.1701,0.043
2024-11-25 18:00:00,0.0691,0.0426
2024-11-25 19:00:00,0.2283,0.0487
2024-11-25 20:00:00,0.3388,0.049
2024-11-25 21:00:00,0.40549999999999997,0.0698
2024-11-25 22:00:00,0.365,0.06770000000000001
2024-11-25 23:00:00,0.2052,0.07880000000000001
2024-11-26 00:00:00,-0.0687,0.064
2024-11-26 01:00:00,-0.3566,0.0337
2024-11-26 02:00:00,-0.5559000000000001,0.0395
2024-11-26 03:00:00,-0.6075,0.029599999999999998
2024-11-26 04:00:00,-0.4737,0.032
2024-11-26 05:00:00,-0.1552,0.014700000000000001
2024-11-26 06:00:00,0.17970000000000003,0.0129
2024-11-26 07:00:00,0.4544,0.013800000000000002
2024-11-26 08:00:00,0.6104,0.0115
2024-11-26 09:00:00,0.7154999999999999,0.0124
2024-11-26 10:00:00,0.7338,0.0211
2024-11-26 11:00:00,0.6285999999999999,0.06799999999999999
2024-11-26 12:00:00,0.43310000000000004,0.0832
2024-11-26 13:00:00,0.1385,0.0754
2024-11-26 14:00:00,-0.0745,0.0627
2024-11-26 15:00:00,-0.2254,0.05600000000000001
2024-11-26 16:00:00,-0.266,0.05500000000000001
2024-11-26 17:00:00,-0.1706,0.046599999999999996
2024-11-26 18:00:00,-0.007400000000000001,0.045899999999999996
2024-11-26 19:00:00,0.2131,0.045
2024-11-26 20:00:00,0.40099999999999997,0.0548
2024-11-26 21:00:00,0.4932,0.066
2024-11-26 22:00:00,0.5345000000000001,0.0699
2024-11-26 23:00:00,0.45890000000000003,0.0831
2024-11-27 00:00:00,0.2454,0.0648
2024-11-27 01:00:00,-0.06659999999999999,0.0379
2024-11-27 02:00:00,-0.38920000000000005,0.0343
2024-11-27 03:00:00,-0.6275999999999999,0.0248
2024-11-27 04:00:00,-0.6622,0.0165
2024-11-27 05:00:00,-0.4263,0.013300000000000001
2024-11-27 06:00:00,-0.0172,0.0113
2024-11-27 07:00:00,0.3624,0.0131
2024-11-27 08:00:00,0.5483,0.015099999999999999
2024-11-27 09:00:00,0.5809,0.0132
2024-11-27 10:00:00,0.5789,0.0158
2024-11-27 11:00:00,0.5604,0.0745
2024-11-27 12:00:00,0.4253,0.08180000000000001
2024-11-27 13:00:00,0.1809,0.08009999999999999
2024-11-27 14:00:00,-0.10740000000000001,0.0748
2024-11-27 15:00:00,-0.3489,0.0534
2024-11-27 16:00:00,-0.5593,0.0591
2024-11-27 17:00:00,-0.5777,0.053200000000000004
2024-11-27 18:00:00,-0.3545,0.055700000000000006
2024-11-27 19:00:00,-0.0322,0.0459
2024-11-27 20:00:00,0.2762,0.0522
2024-11-27 21:00:00,0.4502,0.087
2024-11-27 22:00:00,0.5205,0.0739
2024-11-27 23:00:00,0.4833,0.07949999999999999
2024-11-28 00:00:00,0.3127,0.069
2024-11-28 01:00:00,0.0713,0.0361
2024-11-28 02:00:00,-0.19319999999999998,0.0385
2024-11-28 03:00:00,-0.37320000000000003,0.0329
2024-11-28 04:00:00,-0.4728,0.0295
2024-11-28 05:00:00,-0.4183,0.0159
2024-11-28 06:00:00,-0.1847,0.0167
2024-11-28 07:00:00,0.1385,0.0191
2024-11-28 08:00:00,0.4668,0.018
2024-11-28 09:00:00,0.7149,0.017499999999999998
2024-11-28 10:00:00,0.893,0.0211
2024-11-28 11:00:00,0.9436,0.0188
2024-11-28 12:00:00,0.8686999999999999,0.038900000000000004
2024-11-28 13:00:00,0.6547,0.0413
2024-11-28 14:00:00,0.3567,0.0341
2024-11-28 15:00:00,0.0936,0.038900000000000004
2024-11-28 16:00:00,-0.0618,0.0443
2024-11-28 17:00:00,-0.1643,0.051500000000000004
2024-11-28 18:00:00,-0.1072,0.0431
2024-11-28 19:00:00,0.026600000000000002,0.048299999999999996
2024-11-28 20:00:00,0.186,0.0375
2024-11-28 21:00:00,0.36710000000000004,0.030699999999999998
2024-11-28 22:00:00,0.3823,0.0371
2024-11-28 23:00:00,0.3711,0.0319
